Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC epoch,metrics/valid/MRR,metrics/valid/MRR epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC epoch,metrics/test/MRR,metrics/test/MRR epoch,metrics/test/Hits_50,metrics/test/Hits_50 epoch
CiteSeer,line,sg,-1,0.1,1.0,825,50,-0.0,13.815510749816895,13.815510749816895,66785916.0,17074176.0,0.5645,26,0.0201,44,0.0110,30,0.5490,46,0.0188,2,0.0088,9
CiteSeer,line,sg,10,0.1,1.0,849,50,-0.0,34.53877639770508,34.53877639770508,11656726.0,17072128.0,0.5999,22,0.0286,2,0.0176,27,0.5900,7,0.0367,1,0.0165,7
CiteSeer,line,sg_aug,1000,0.1,0.01,707,50,-0.0,0.0,0.0,2274731008.0,17068544.0,0.6040,11,0.0270,1,0.0176,9,0.5775,9,0.0384,50,0.0374,49
CiteSeer,line,sg_aug,1000000000,0.1,0.01,720,50,-0.0,0.0,0.0,16469639.0,17068544.0,0.6652,23,0.0675,12,0.0440,23,0.6365,35,0.0757,28,0.0429,28
CiteSeer,n2v,sg,-1,0.1,1.0,162,50,35043.1328125,658805.1875,693848.3125,1075726.75,11370985472.0,0.7405,10,0.1470,35,0.0110,1,0.7289,3,0.1496,5,0.0088,1
CiteSeer,n2v,sg,10,0.1,1.0,100,50,34026.8671875,759712.875,793739.75,320363.1875,3122808832.0,0.7774,12,0.1518,8,0.0176,1,0.7680,31,0.1633,29,0.0220,1
CiteSeer,n2v,sg_aug,10,0.1,0.1,89,50,108.6638412475586,0.0,108.6638412475586,717599.125,2085803008.0,0.7956,24,0.1119,20,0.0264,42,0.7588,7,0.1269,33,0.0495,6
CiteSeer,n2v,sg_aug,1000000000,0.1,0.1,89,50,2.805497646331787,0.0,2.805497646331787,65663636.0,2085803008.0,0.7469,2,0.0967,9,0.0154,17,0.7462,1,0.1145,6,0.0330,6
Cora,line,sg,-1,0.1,1.0,947,50,-0.0,6.907755374908447,6.907755374908447,66846600.0,15485440.0,0.5372,5,0.0180,3,0.0038,1,0.5442,43,0.0182,16,0.0076,46
Cora,line,sg,10,0.1,1.0,990,50,-0.0,-0.0,-0.0,7283272.5,15483392.0,0.6238,18,0.0369,2,0.0076,1,0.5724,16,0.0306,1,0.0076,49
Cora,line,sg_aug,1000,0.1,1.0,815,50,-0.0,0.0,0.0,1481170688.0,15479808.0,0.5516,22,0.0355,46,0.0361,14,0.5320,38,0.0299,34,0.0199,7
Cora,line,sg_aug,1000000000,0.1,1.0,829,50,-0.0,0.0,0.0,32628004.0,15479808.0,0.6695,47,0.0711,6,0.0095,48,0.6289,36,0.0642,22,0.0152,34
Cora,n2v,sg,-1,0.1,1.0,135,50,18602.96875,110818.8515625,129421.8203125,180732.515625,11369713664.0,0.8130,21,0.1472,17,0.0190,1,0.8021,3,0.1446,28,0.0133,1
Cora,n2v,sg,10,0.1,1.0,87,50,17650.11328125,118247.8046875,135897.921875,103695.59375,3121537536.0,0.8344,38,0.1551,9,0.0361,19,0.8337,6,0.1490,5,0.0322,19
Cora,n2v,sg_aug,10,0.1,0.1,77,50,0.6998500823974609,0.0,0.6998500823974609,6170258.5,2084531712.0,0.8122,1,0.1082,2,0.0133,1,0.8000,1,0.1049,2,0.0076,1
Cora,n2v,sg_aug,1000000000,0.1,0.1,77,50,0.0002485548611730337,0.0,0.0002485548611730337,202049312.0,2084531712.0,0.7963,1,0.1052,2,0.0095,22,0.7674,1,0.1024,5,0.0104,33
PubMed,line,sg,-1,0.1,1.0,313,50,-0.0,158.8783721923828,158.8783721923828,631976000.0,59277824.0,0.5810,8,0.0285,50,0.0232,22,0.5679,5,0.0265,18,0.0225,20
PubMed,line,sg,10,0.1,1.0,314,50,34.53877639770508,172.69387817382812,207.23265075683594,269403808.0,59210240.0,0.5986,6,0.0345,3,0.0307,27,0.5949,7,0.0351,6,0.0274,7
PubMed,line,sg_aug,1000,0.1,0.01,269,50,-0.0,0.0,0.0,107527045120.0,59174912.0,0.6853,36,0.0552,2,0.0456,22,0.6770,40,0.0496,2,0.0338,36
PubMed,line,sg_aug,1000000000,0.1,0.01,269,50,-0.0,0.0,0.0,534078848.0,59174912.0,0.6544,20,0.0686,16,0.0575,16,0.6525,32,0.0653,44,0.0486,26
PubMed,n2v,sg,-1,0.1,1.0,856,50,7422.6572265625,41966.57421875,49389.23046875,173640384.0,11404685312.0,0.7802,1,0.1250,11,0.0009,45,0.7824,1,0.1195,11,0.0009,35
PubMed,n2v,sg,10,0.1,1.0,500,50,5878.7724609375,54421.5234375,60300.296875,14005859328.0,3156508160.0,0.7915,1,0.1676,1,0.0002,5,0.7853,1,0.1611,1,0.0003,9
PubMed,n2v,sg_aug,1000,0.1,0.1,404,50,9.536745437799254e-07,0.0,9.536745437799254e-07,11942174720.0,2119502336.0,0.7378,1,0.0940,1,0.0454,1,0.7353,1,0.0931,1,0.0426,1
PubMed,n2v,sg_aug,1000000000,0.1,0.1,403,50,9.536745437799254e-07,0.0,9.536745437799254e-07,11942174720.0,2119502336.0,0.7359,1,0.0940,1,0.0454,1,0.7372,1,0.0931,1,0.0426,1
ogbl-citation2,line,sg,-1,0.01,1.0,3907,2,977.033935546875,7942.9296875,8919.9638671875,4806765056.0,8023448064.0,0.5637,2,0.0106,2,0.0010,2,0.5637,2,0.0109,2,0.0014,2
ogbl-citation2,line,sg,10,0.01,1.0,3896,2,601.7444458007812,7371.6748046875,7973.41943359375,21276680192.0,8018150912.0,0.5717,2,0.0123,2,0.0010,2,0.5733,2,0.0130,2,0.0010,2
ogbl-citation2,line,sg_aug,1000,0.01,1e-07,3033,2,101.36543273925781,0.0,101.36543273925781,15120498425856.0,8017084928.0,0.6267,2,0.0284,2,0.0025,2,0.6306,2,0.0281,2,0.0025,2
ogbl-citation2,line,sg_aug,1000000000,0.01,1e-07,3039,2,45.4979248046875,0.0,45.4979248046875,185862094848.0,8017084928.0,0.6536,2,0.0349,2,0.0037,2,0.6565,2,0.0346,2,0.0052,2
ogbl-citation2,n2v,sg,-1,0.01,1.0,0,,,,,,,,,,,,,,,,,,
ogbl-citation2,n2v,sg,10,0.01,1.0,2596,3,129172.2109375,623100.75,752272.9375,8778578132992.0,19250343936.0,0.7885,3,0.0734,3,0.0375,3,0.7886,3,0.0738,3,0.0401,3
ogbl-citation2,n2v,sg_aug,1000,0.01,1e-06,2087,3,13884.5205078125,0.0,13884.5205078125,3209584181248.0,15001152512.0,0.8230,3,0.0363,3,0.0029,2,0.8243,3,0.0361,3,0.0026,2
