Graph,Model,Time I,Time II',Time II,Time Delta,Memory I,Memory II',Memory II,Memory Delta,AUC-ROC I,AUC-ROC II',AUC-ROC II,AUC-ROC Delta,Hits@50 I,Hits@50 II',Hits@50 II,Hits@50 Delta,Hits@100 I,Hits@100 II',Hits@100 II,Hits@100 Delta,MRR I,MRR II',MRR II,MRR Delta
CiteSeer,n2v,0.53,0.03,0.42,-20.75\%,3.12,2.09,2.09,-33.01\%,0.76,0.78,0.77,0.02,0.02,0.03,0.01,0.01,0.05,0.04,0.03,-0.01,0.15,0.09,0.09,-0.06
Cora,n2v,0.44,0.03,0.36,-18.18\%,3.12,2.08,2.08,-33.33\%,0.87,0.66,0.8,-0.07,0.03,0.02,0,-0.01,0.06,0.03,0,-0.03,0.14,0.05,0.07,-0.07
PubMed,n2v,2.61,0.19,2,-23.37\%,3.16,2.12,2.12,-32.91\%,0.91,0.76,0.81,-0.1,0.1,0,0,-0.1,0.18,0,0,-0.18,0.24,0.08,0.13,-0.11
ogbl-collab,n2v,4.31,1.48,3.88,-9.98\%,13.25,9,9,-32.08\%,0.94,0.93,0.96,0.02,0.25,0.14,0.17,-0.08,0.33,0.2,0.27,-0.06,0.38,0.27,0.38,0
ogbl-ppa,n2v,24.72,9.23,23.43,-5.22\%,27.24,18.74,18.74,-31.20\%,1,0.81,0.97,-0.03,0.1,0.01,0.01,-0.09,0.15,0.02,0.02,-0.13,nan ,nan ,nan ,nan
ogbl-citation2,n2v,35.75,20.5,28.07,-21.48\%,31.98,23.49,23.49,-26.55\%,0.98,0.81,0.95,-0.03,0.13,0.02,0.06,-0.07,0.22,0.03,0.08,-0.14,0.32,0.07,0.16,-0.16
ogbl-vessel,n2v,51.69,27.93,42.99,-16.83\%,32.84,24.35,24.35,-25.85\%,0.96,0.83,0.87,-0.09,0,0,0,,0,0,0,,0.81,0.11,0.19,-0.62
CiteSeer,line,0.05,0.005,0.04,-20.00\%,0.02,0.02,0.02,0.00\%,0.6,0.65,0.67,0.07,0.01,0.01,0.01,0,0.02,0.02,0.02,0,0.03,0.04,0.04,0.01
Cora,line,0.06,0.01,0.05,-16.67\%,0.02,0.02,0.02,0.00\%,0.59,0.67,0.68,0.09,0.01,0,0.01,0,0.01,0.01,0.01,0,0.03,0.04,0.04,0.01
PubMed,line,0.55,0.05,0.45,-18.18\%,0.06,0.06,0.06,0.00\%,0.7,0.72,0.75,0.05,0.03,0.03,0.03,0,0.04,0.05,0.06,0.02,0.06,0.07,0.07,0.01
ogbl-collab,line,0.77,0.25,0.65,-15.58\%,0.64,0.64,0.64,0.00\%,0.72,0.78,0.8,0.08,0.05,0.14,0.19,0.14,0.07,0.16,0.22,0.15,0.09,0.2,0.23,0.14
ogbl-ppa,line,16.23,5.12,15.43,-4.93\%,2.07,2.07,2.07,0.00\%,0.9,0.91,0.78,0.01,0.01,0.02,0.06,0.05,0.01,0.04,0.08,0.07,nan ,nan ,nan ,nan
ogbl-citation2,line,48.51,25.19,47.4,-2.29\%,8.02,8.02,8.02,0.00\%,0.61,0.65,0.62,0.04,0.01,0.01,0.05,0.04,0.01,0.02,0.05,0.04,0.03,0.03,0.08,0.05
ogbl-vessel,line,9.39,4.9,9.2,-2.02\%,9.19,9.19,9.19,0.00\%,0.5,0.5,0.5,0,0,0,0,,0,0,0,,0.01,0.01,0.01,0
