Graph,Model,Time I,Time II,Memory I,Memory II,AUC-ROC I,AUC-ROC II,Hits@50 I,Hits@50 II,Hits@100 I,Hits@100 II,MRR I,MRR II
CiteSeer,n2v,0.90 ,0.41 ,11.37 ,2.09 ,0.68 ,0.79 ,0.05 ,0.02 ,0.10 ,0.05 ,0.15 ,0.09 
Cora,n2v,0.76 ,0.36 ,11.37 ,2.08 ,0.84 ,0.85 ,0.01 ,0.00 ,0.02 ,0.01 ,0.13 ,0.08 
PubMed,n2v,4.96 ,1.97 ,11.40 ,2.12 ,0.76 ,0.84 ,0.11 ,0.05 ,0.22 ,0.11 ,0.23 ,0.17 
ogbl-collab,n2v,0.00 ,3.86 ,nan ,9.00 ,nan ,0.96 ,nan ,0.17 ,nan ,0.26 ,nan ,0.43 
ogbl-ppa,n2v,0.00 ,27.57 ,nan ,18.74 ,nan ,0.98 ,nan ,0.05 ,nan ,0.09 ,nan ,nan 
ogbl-citation2,n2v,0.00 ,34.07 ,nan ,23.49 ,nan ,0.94 ,nan ,0.05 ,nan ,0.07 ,nan ,0.15 
ogbl-vessel,n2v,0.00 ,35.05 ,nan ,24.35 ,nan ,0.88 ,nan ,0.00 ,nan ,0.00 ,nan ,0.19 
CiteSeer,line,0.05 ,0.04 ,0.02 ,0.02 ,0.61 ,0.62 ,0.02 ,0.01 ,0.03 ,0.02 ,0.04 ,0.04 
Cora,line,0.05 ,0.05 ,0.02 ,0.02 ,0.60 ,0.66 ,0.01 ,0.01 ,0.01 ,0.01 ,0.03 ,0.04 
PubMed,line,0.48 ,0.40 ,0.06 ,0.06 ,0.69 ,0.72 ,0.02 ,0.04 ,0.03 ,0.07 ,0.06 ,0.07 
ogbl-collab,line,0.76 ,0.62 ,0.64 ,0.64 ,0.71 ,0.78 ,0.07 ,0.18 ,0.09 ,0.20 ,0.12 ,0.23 
ogbl-ppa,line,16.51 ,15.43 ,2.08 ,2.07 ,0.92 ,0.76 ,0.00 ,0.05 ,0.01 ,0.07 ,nan ,nan 
ogbl-citation2,line,48.68 ,47.52 ,8.03 ,8.02 ,0.67 ,0.58 ,0.03 ,0.01 ,0.04 ,0.01 ,0.07 ,0.02 
ogbl-vessel,line,9.22 ,9.01 ,9.20 ,9.19 ,0.50 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.01 
