Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/positive_loss max,Loss/negative_loss,Loss/negative_loss max,Loss/total_loss,Loss/total_loss max,Loss/dimension_regularization,Loss/dimension_regularization max,GPU_usage/memory__bytes_,GPU_usage/memory__bytes_ max,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_1 max,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_20 max,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_100,classifier/metrics/valid/Hits_100 max,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_1 max,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_20 max,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_100,classifier/metrics/test/Hits_100 max,Loss/classifier_loss,Loss/classifier_loss max,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/Hits_1,metrics/valid/Hits_1 max,metrics/valid/Hits_20,metrics/valid/Hits_20 max,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_100,metrics/valid/Hits_100 max,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/MRR,metrics/test/MRR max,metrics/test/Hits_1,metrics/test/Hits_1 max,metrics/test/Hits_20,metrics/test/Hits_20 max,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_100,metrics/test/Hits_100 max
CiteSeer,line,sg,-1,0.1,0.0,-1.0,-1.0,02-07-12h28m,2.8076090812683105,1139,-0.0,777.4027,1985.759033203125,2211.4126,1985.759033203125,2318.6887,0.0,0.0000,17705984.0,17705984.0000,0.8467031121253967,0.8467,0.10331115871667862,0.1033,0.0,0.0044,0.03186813369393349,0.0319,0.05494505912065506,0.0560,0.07252747565507889,0.0758,0.6037890315055847,0.6038,0.03109760582447052,0.0334,0.001098901149816811,0.0011,0.017032967880368233,0.0231,0.02747252956032753,0.0379,0.03241758421063423,0.0473,1.0321356058120728,1.5409,0.8628212213516235,0.8628,0.1130656898021698,0.1131,0.0,0.0000,0.02967033162713051,0.0297,0.03846153989434242,0.0385,0.05824176222085953,0.0582,0.6127957105636597,0.6128,0.035574737936258316,0.0356,0.0,0.0000,0.013736264780163765,0.0137,0.024725275114178658,0.0247,0.03186813369393349,0.0319
CiteSeer,line,sg_aug,100,0.1,1.0,-1.0,-1.0,02-07-12h29m,2.3432776927948,1139,-0.0,616.1503,0.0,0.0000,0.0,616.1503,125182.1875,211407.7656,17301504.0,17301504.0000,0.9694725871086121,0.9695,0.33665430545806885,0.3367,0.002197802299633622,0.0143,0.0912087932229042,0.0912,0.14945055544376373,0.1495,0.2329670488834381,0.2330,0.60052490234375,0.6005,0.03968627750873566,0.0397,0.0,0.0016,0.003296703565865755,0.0110,0.01318681426346302,0.0209,0.019780220463871956,0.0297,0.5952392220497131,1.3998,0.9778525233268738,0.9779,0.3532651364803314,0.3533,0.001098901149816811,0.0011,0.0813186839222908,0.0813,0.13736264407634735,0.1374,0.1945054978132248,0.1945,0.6201240420341492,0.6201,0.03978292644023895,0.0398,0.0,0.0000,0.003296703565865755,0.0033,0.008241758681833744,0.0082,0.015934066846966743,0.0159
CiteSeer,n2v,sg,-1,0.1,0.0,1.0,0.5,02-07-12h29m,54.06975507736206,519,40183.7265625,3089190.7500,705139.9375,5503784.0000,745323.6875,8592975.0000,0.0,0.0000,11371151360.0,11371151360.0000,0.9967122673988342,0.9978,0.46819621324539185,0.4682,0.0,0.0000,0.035164836794137955,0.0352,0.10109890252351761,0.1011,0.19780220091342926,0.1978,0.6661681532859802,0.7078,0.14288270473480225,0.1429,0.0,0.0000,0.01318681426346302,0.0132,0.030219782143831253,0.0302,0.07197802513837814,0.0720,0.21811577677726746,1.3862,0.9968929886817932,0.9969,0.5115495920181274,0.5115,0.004395604599267244,0.0044,0.05494505912065506,0.0549,0.12087912857532501,0.1209,0.26813188195228577,0.2681,0.6762186288833618,0.6762,0.15304966270923615,0.1530,0.0,0.0000,0.019780220463871956,0.0198,0.05109890177845955,0.0511,0.09780219942331314,0.0978
CiteSeer,n2v,sg_aug,10,0.1,10.0,1.0,0.5,02-07-12h30m,24.36480474472046,519,27.107532501220703,3089190.7500,0.0,0.0000,27.107532501220703,3089190.7500,3.0601558685302734,15791.5625,2085969408.0,2085969408.0000,0.983186662197113,0.9832,0.20729020237922668,0.2160,0.001098901149816811,0.0022,0.018681319430470467,0.0187,0.03956044092774391,0.0451,0.09560439735651016,0.0956,0.7995297908782959,0.7995,0.07748953253030777,0.0775,0.0,0.0011,0.013736264780163765,0.0148,0.026923079043626785,0.0297,0.04175824299454689,0.0478,0.40098336338996887,1.3881,0.9794515371322632,0.9795,0.23309072852134705,0.2331,0.001098901149816811,0.0011,0.019780220463871956,0.0198,0.05934066325426102,0.0593,0.11428572237491608,0.1143,0.794866681098938,0.7949,0.08610023558139801,0.0861,0.0005494505749084055,0.0005,0.007692308165132999,0.0077,0.02362637408077717,0.0236,0.04780219867825508,0.0478
Cora,line,sg,-1,0.1,0.0,-1.0,-1.0,02-07-12h26m,3.249244451522827,1319,39.66175079345703,703.3054,1885.9051513671875,2172.5142,1925.56689453125,2321.4048,0.0,0.0000,16117248.0,16117248.0000,0.788957953453064,0.7890,0.08599744737148285,0.0860,0.002846299670636654,0.0028,0.012333965860307217,0.0152,0.03036053106188774,0.0304,0.03889942914247513,0.0389,0.5878835916519165,0.5951,0.027650531381368637,0.0277,0.0,0.0000,0.0014218009309843183,0.0014,0.005687203723937273,0.0057,0.00995260663330555,0.0100,1.2628073692321777,1.5345,0.7792640328407288,0.7793,0.08924069255590439,0.0892,0.0,0.0000,0.016129031777381897,0.0161,0.03415559604763985,0.0342,0.05882352963089943,0.0588,0.600372314453125,0.6004,0.029725639149546623,0.0297,0.0,0.0000,0.0004739336436614394,0.0005,0.008056871592998505,0.0081,0.011374407447874546,0.0114
Cora,line,sg_aug,100,0.1,1.0,-1.0,-1.0,02-07-12h26m,2.7468621730804443,1319,1.1920930376163597e-07,665.3881,0.0,0.0000,1.1920930376163597e-07,665.3881,64525.29296875,170714.1250,15712768.0,15712768.0000,0.9653576612472534,0.9654,0.29840049147605896,0.2984,0.0,0.0095,0.10056925565004349,0.1006,0.16129031777381897,0.1613,0.22106261551380157,0.2211,0.6597256660461426,0.6597,0.035360269248485565,0.0354,0.0,0.0009,0.002369668334722519,0.0028,0.008056871592998505,0.0081,0.012322274968028069,0.0123,0.5503355860710144,1.4630,0.9675344824790955,0.9675,0.2958602011203766,0.2959,0.0018975331913679838,0.0019,0.06356736272573471,0.0636,0.12903225421905518,0.1290,0.2286527454853058,0.2287,0.657379150390625,0.6574,0.04004789888858795,0.0400,0.0,0.0000,0.0018957345746457577,0.0019,0.006635070778429508,0.0066,0.014218009077012539,0.0142
Cora,n2v,sg,-1,0.01,0.0,1.0,1.0,02-07-12h27m,45.393808364868164,439,27628.603515625,3905797.2500,124569.375,5467988.0000,152197.984375,9331398.0000,0.0,0.0000,11369879552.0,11369879552.0000,0.9891355037689209,0.9900,0.37810516357421875,0.3781,0.0180265661329031,0.0180,0.021821631118655205,0.0370,0.03415559604763985,0.0436,0.08254269510507584,0.1157,0.8534485697746277,0.8549,0.14113715291023254,0.1411,0.0014218009309843183,0.0014,0.012322274968028069,0.0190,0.015165876597166061,0.0242,0.028436018154025078,0.0408,0.19882982969284058,1.3903,0.9869815111160278,0.9870,0.38368794322013855,0.3837,0.0,0.0000,0.013282732106745243,0.0133,0.037001896649599075,0.0370,0.11005692183971405,0.1101,0.8448457717895508,0.8448,0.13405361771583557,0.1341,0.0,0.0000,0.006161137484014034,0.0062,0.00995260663330555,0.0100,0.021800948306918144,0.0218
Cora,n2v,sg_aug,5,0.01,100.0,1.0,1.0,02-07-12h28m,21.454322814941406,439,9536.0205078125,3901580.5000,0.0,0.0000,9536.0205078125,3901580.5000,1060.864013671875,6914.7061,2084697600.0,2084697600.0000,0.9757058024406433,0.9757,0.2097828984260559,0.2098,0.0,0.0000,0.0,0.0000,0.013282732106745243,0.0133,0.026565464213490486,0.0266,0.852916419506073,0.8529,0.08605868369340897,0.0861,0.0,0.0000,0.0,0.0005,0.0,0.0005,0.009478673338890076,0.0095,0.5392010807991028,1.3923,0.9755287170410156,0.9755,0.20997938513755798,0.2100,0.0,0.0000,0.0,0.0000,0.0066413660533726215,0.0066,0.02561669796705246,0.0256,0.8544692993164062,0.8545,0.08110372722148895,0.0811,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.00995260663330555,0.0100
PubMed,line,sg,-1,0.1,0.0,-1.0,-1.0,02-07-12h31m,28.902214288711548,11099,-0.0,1535.9385,103.6163330078125,2454.5161,103.6163330078125,3144.1255,0.0,0.0000,59796480.0,59796480.0000,0.869102954864502,0.8691,0.14150533080101013,0.1415,0.007784295827150345,0.0078,0.0339575819671154,0.0340,0.058325812220573425,0.0583,0.08709385991096497,0.0871,0.6886335611343384,0.6886,0.05507225915789604,0.0569,0.0007897111936472356,0.0016,0.008179151453077793,0.0204,0.016132671386003494,0.0244,0.030460288748145103,0.0398,0.3963916301727295,2.3061,0.877238929271698,0.8772,0.14635537564754486,0.1464,0.0010153430048376322,0.0010,0.029557760804891586,0.0296,0.06588447839021683,0.0659,0.09363718330860138,0.0936,0.6882556676864624,0.6883,0.057395465672016144,0.0574,0.0008461191318929195,0.0008,0.006374097429215908,0.0064,0.01788131706416607,0.0179,0.029332129284739494,0.0293
PubMed,line,sg_aug,100,0.1,0.1,-1.0,-1.0,02-07-12h32m,24.291247129440308,11099,-0.0,954.9418,0.0,0.0000,0.0,954.9418,614586.1875,690332.2500,59392000.0,59392000.0000,0.9461343884468079,0.9461,0.38546839356422424,0.3855,0.0,0.0102,0.1923510879278183,0.1924,0.2946750819683075,0.2947,0.3743230998516083,0.3743,0.7079528570175171,0.7080,0.07275877892971039,0.0728,0.0,0.0045,0.021265793591737747,0.0213,0.04123420640826225,0.0442,0.061823103576898575,0.0664,0.38350236415863037,1.7280,0.9514327645301819,0.9514,0.3943205177783966,0.3943,0.014101985841989517,0.0141,0.21942690014839172,0.2194,0.3303249180316925,0.3303,0.38278430700302124,0.3828,0.7174467444419861,0.7174,0.07397342473268509,0.0740,0.003553700400516391,0.0036,0.022337544709444046,0.0223,0.04444945976138115,0.0444,0.0678587555885315,0.0679
