Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/positive_loss max,Loss/negative_loss,Loss/negative_loss max,Loss/total_loss,Loss/total_loss max,Loss/dimension_regularization,Loss/dimension_regularization max,GPU_usage/memory__bytes_,GPU_usage/memory__bytes_ max,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_1 max,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_20 max,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_100,classifier/metrics/valid/Hits_100 max,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_1 max,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_20 max,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_100,classifier/metrics/test/Hits_100 max,Loss/classifier_loss,Loss/classifier_loss max,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/Hits_1,metrics/valid/Hits_1 max,metrics/valid/Hits_20,metrics/valid/Hits_20 max,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_100,metrics/valid/Hits_100 max,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/MRR,metrics/test/MRR max,metrics/test/Hits_1,metrics/test/Hits_1 max,metrics/test/Hits_20,metrics/test/Hits_20 max,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_100,metrics/test/Hits_100 max
CiteSeer,line,sg,10,0.1,0,-1,-1,02-06-13h35m,3.215159655,1139,96.41230774,674.4661,2030.829834,2538.3613,2127.242188,2620.947,0,0,17435648,17435648,0.739305973,0.7393,0.060273573,0.0613,0.008791209,0.0088,0.01978022,0.0286,0.03846154,0.0385,0.047252748,0.0473,0.59468025,0.5947,0.034021981,0.034,0.001648352,0.0027,0.008241759,0.0082,0.01923077,0.0192,0.024725275,0.0247,1.203600407,1.622,0.772984445,0.773,0.077039145,0.077,0.005494506,0.0055,0.023076924,0.0231,0.037362639,0.0374,0.057142861,0.0571,0.597363174,0.5974,0.032468762,0.0325,0,0,0.005494506,0.0055,0.014835166,0.0148,0.020879121,0.0209
CiteSeer,line,sg_aug,100,0.1,1,-1,-1,02-06-13h35m,2.650750875,1139,1.19E-07,616.1503,0,0,1.19E-07,616.1503,131900.0781,213468.6875,17301504,17301504,0.96799773,0.968,0.351203293,0.3512,0.004395605,0.0088,0.126373634,0.1264,0.205494508,0.2055,0.251648366,0.2516,0.665371001,0.6654,0.038199004,0.0382,0,0.0005,0.004395605,0.0093,0.016483517,0.0165,0.021428572,0.0253,0.530825913,1.3925,0.968029737,0.968,0.355284691,0.3553,0.007692308,0.0077,0.068131872,0.0681,0.193406597,0.1934,0.248351663,0.2484,0.67151016,0.6715,0.039771743,0.0398,0,0,0.004395605,0.0044,0.014285715,0.0143,0.020879121,0.0209
CiteSeer,line,sg_aug,1000000000,0.1,0,-1,-1,02-06-13h35m,0.280885935,113,0.000591337,616.1503,0,0,0.000591337,616.1503,nan,nan,17301504,17301504,0.973555148,0.9736,0.363694012,0.3637,0.008791209,0.0132,0.101098903,0.1011,0.169230774,0.1692,0.252747267,0.2527,0.650050879,0.6501,0.039032683,0.039,0,0.0033,0.005494506,0.0198,0.00989011,0.0275,0.021978023,0.0401,0.610982418,1.399,0.983773291,0.9838,0.416619301,0.4166,0.001098901,0.0011,0.072527476,0.0725,0.225274742,0.2253,0.289011002,0.289,0.647292852,0.6473,0.041782405,0.0418,0.000549451,0.0005,0.004395605,0.0044,0.013736265,0.0137,0.022527473,0.0225
CiteSeer,n2v,sg,10,0.1,0,1,0.5,02-06-13h35m,31.55395818,519,36152.78125,3089190.75,748002.5,5502481,784155.25,8591672,0,0,3122975232,3122975232,0.993929863,0.9966,0.361100107,0.4735,0,0.0022,0,0.0077,0,0.0549,0.007692308,0.1538,0.750252604,0.7503,0.114030004,0.1469,0,0,0,0.0033,0,0.0115,0.000549451,0.0324,0.152877465,1.3865,0.998406768,0.9984,0.506012142,0.506,0,0,0.003296704,0.0033,0.048351649,0.0484,0.139560446,0.1396,0.758573055,0.7586,0.15094994,0.1509,0,0,0,0,0.015934067,0.0159,0.047802199,0.0478
CiteSeer,n2v,sg_aug,10,0.1,10,1,0.5,02-06-13h36m,25.09595776,519,13.96395588,3089190.75,0,0,13.96395588,3089190.75,72.86867523,3654.2188,2085969408,2085969408,0.980156422,0.9802,0.246964484,0.2474,0,0.0033,0.032967035,0.0341,0.080219783,0.0802,0.114285722,0.1264,0.769047916,0.7796,0.092165127,0.0922,0,0,0.012637363,0.017,0.028571431,0.0286,0.050549451,0.0505,0.309842378,1.3873,0.97389853,0.9739,0.261240274,0.2612,0,0,0.01978022,0.0198,0.042857144,0.0429,0.06703297,0.067,0.772697091,0.7727,0.093662024,0.0937,0,0,0.004945055,0.0049,0.013736265,0.0137,0.029120881,0.0291
CiteSeer,n2v,sg_aug,1000000000,0.1,0,1,0.5,02-06-13h36m,2.065685034,51,1099.876465,3089190.75,0,0,1099.876465,3089190.75,nan,nan,2085969408,2085969408,0.988248646,0.9882,0.275735945,0.2757,0.002197802,0.0033,0.036263738,0.0363,0.063736267,0.0637,0.101098903,0.1011,0.775972068,0.7791,0.092468649,0.0925,0,0.0011,0.012087912,0.0126,0.018681319,0.0258,0.03846154,0.0505,0.405967236,1.4484,0.989956439,0.99,0.286050528,0.2861,0.001098901,0.0011,0.028571431,0.0286,0.079120882,0.0791,0.12197803,0.122,0.78344065,0.7834,0.091479979,0.0915,0,0,0.008791209,0.0088,0.025274726,0.0253,0.043406595,0.0434
Cora,line,sg,10,0.1,0,-1,-1,02-06-13h32m,3.717318773,1319,179.3139954,699.6719,2267.051758,2682.8027,2446.365723,2820.958,0,0,15846912,15846912,0.756901383,0.7569,0.074919008,0.0749,0.001897533,0.0019,0.010436432,0.0104,0.025616698,0.0256,0.043643262,0.0436,0.579155266,0.5792,0.030467639,0.0311,0,0.0014,0.006635071,0.0066,0.009952607,0.01,0.015165877,0.0152,1.342274427,1.6919,0.772511899,0.7725,0.077023484,0.077,0,0,0.009487666,0.0095,0.024667932,0.0247,0.032258064,0.0323,0.587199211,0.5872,0.028904222,0.0289,0.000947867,0.0009,0.006635071,0.0066,0.009004739,0.009,0.012322275,0.0123
Cora,line,sg_aug,100,0.1,1,-1,-1,02-06-13h33m,3.092501879,1319,4.05E-06,665.3881,0,0,4.05E-06,665.3881,59833.85938,141038.5938,15712768,15712768,0.960305035,0.9603,0.293092787,0.2931,0,0.0076,0.067362428,0.0674,0.127134725,0.1271,0.202087283,0.2021,0.678276896,0.6783,0.039338063,0.0393,0,0,0.001421801,0.0047,0.002843602,0.0066,0.009952607,0.01,0.523692727,1.4405,0.964801431,0.9648,0.303539515,0.3035,0.0028463,0.0028,0.062618598,0.0626,0.131878555,0.1319,0.222960144,0.223,0.683083057,0.6831,0.038702704,0.0387,0,0,0.002843602,0.0028,0.007582938,0.0076,0.014218009,0.0142
Cora,line,sg_aug,1000000000,0.1,0,-1,-1,02-06-13h33m,0.326709986,131,0.000395128,665.3881,0,0,0.000395128,665.3881,nan,nan,15712768,15712768,0.946311831,0.9463,0.289677739,0.2897,0,0.0047,0.052182164,0.0522,0.115749523,0.1157,0.181214422,0.1812,0.65532279,0.6553,0.036736295,0.0367,0,0,0,0.0047,0.004265403,0.0085,0.012796208,0.0128,0.655903816,1.4232,0.960407853,0.9604,0.302634597,0.3026,0,0,0.051233396,0.0512,0.137571156,0.1376,0.212523714,0.2125,0.66696161,0.667,0.040672395,0.0407,0,0,0.000473934,0.0005,0.002843602,0.0028,0.012322275,0.0123
Cora,n2v,sg,10,0.01,0,1,1,02-06-13h33m,26.66484451,439,25031.43164,3908633,123480.1875,5451856,148511.625,9317774,0,0,3121703424,3121703424,0.986109316,0.9861,0.361649096,0.3616,0.001897533,0.0047,0.073055029,0.0731,0.119544588,0.1195,0.206831113,0.2087,0.86040324,0.8604,0.136229739,0.1362,0.000473934,0.0019,0.025592417,0.0256,0.038388625,0.0384,0.057345971,0.063,0.186532184,1.4282,0.989325583,0.9893,0.377756089,0.3778,0,0,0.052182164,0.0522,0.14705883,0.1471,0.197343454,0.1973,0.865886748,0.8659,0.139492109,0.1395,0,0,0.011374407,0.0114,0.034597155,0.0346,0.057345971,0.0573
