Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_1 max,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_20 max,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_100,classifier/metrics/valid/Hits_100 max,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_1 max,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_20 max,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_100,classifier/metrics/test/Hits_100 max,Loss/classifier_loss,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/Hits_1,metrics/valid/Hits_1 max,metrics/valid/Hits_20,metrics/valid/Hits_20 max,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_100,metrics/valid/Hits_100 max,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/MRR,metrics/test/MRR max,metrics/test/Hits_1,metrics/test/Hits_1 max,metrics/test/Hits_20,metrics/test/Hits_20 max,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_100,metrics/test/Hits_100 max
CiteSeer,line,sg,-1,0.1,0.0,-1.0,-1.0,02-05-15h40m,2.718442916870117,1139,-0.0,1985.759033203125,1985.759033203125,0.0,17705984.0,0.8499886393547058,0.8500,0.10331115871667862,0.1033,0.0,0.0044,0.03186813369393349,0.0319,0.05494505912065506,0.0560,0.07252747565507889,0.0758,0.6092348098754883,0.6100,0.03109760582447052,0.0334,0.001098901149816811,0.0011,0.017032967880368233,0.0231,0.02747252956032753,0.0379,0.03241758421063423,0.0473,1.0321356058120728,0.8778764009475708,0.8779,0.1130656898021698,0.1131,0.0,0.0000,0.02967033162713051,0.0297,0.03846153989434242,0.0385,0.05824176222085953,0.0582,0.6185462474822998,0.6185,0.035574737936258316,0.0356,0.0,0.0000,0.013736264780163765,0.0137,0.024725275114178658,0.0247,0.03186813369393349,0.0319
CiteSeer,line,sg,10,0.1,0.0,-1.0,-1.0,02-05-15h40m,2.7133121490478516,1139,96.41230773925781,2030.829833984375,2127.2421875,0.0,17435648.0,0.7038267254829407,0.7038,0.06027357280254364,0.0613,0.008791209198534489,0.0088,0.019780220463871956,0.0286,0.03846153989434242,0.0385,0.04725274816155434,0.0473,0.6039538383483887,0.6040,0.03402198106050491,0.0340,0.0016483517829328775,0.0027,0.008241758681833744,0.0082,0.01923076994717121,0.0192,0.024725275114178658,0.0247,1.2036004066467285,0.7854666709899902,0.7855,0.07703914493322372,0.0770,0.005494505632668734,0.0055,0.023076923564076424,0.0231,0.03736263886094093,0.0374,0.05714286118745804,0.0571,0.6175392866134644,0.6175,0.0324687622487545,0.0325,0.0,0.0000,0.005494505632668734,0.0055,0.014835165813565254,0.0148,0.020879121497273445,0.0209
CiteSeer,line,sg_aug,100,0.1,1.0,-1.0,-1.0,02-05-15h40m,2.280907154083252,1139,1.1920930376163597e-07,0.0,1.1920930376163597e-07,131900.078125,17301504.0,0.9687374234199524,0.9687,0.3512032926082611,0.3512,0.004395604599267244,0.0088,0.12637363374233246,0.1264,0.20549450814723969,0.2055,0.2516483664512634,0.2516,0.6678481698036194,0.6678,0.03819900378584862,0.0382,0.0,0.0005,0.004395604599267244,0.0093,0.016483517363667488,0.0165,0.02142857201397419,0.0253,0.5308259129524231,0.9729254841804504,0.9729,0.3552846908569336,0.3553,0.007692308165132999,0.0077,0.06813187152147293,0.0681,0.1934065967798233,0.1934,0.24835166335105896,0.2484,0.6753312349319458,0.6753,0.03977174311876297,0.0398,0.0,0.0000,0.004395604599267244,0.0044,0.01428571529686451,0.0143,0.020879121497273445,0.0209
CiteSeer,line,sg_aug,1000000000,0.1,0.0,-1.0,-1.0,02-05-15h40m,0.2528977394104004,113,0.0005913370987400413,0.0,0.0005913370987400413,nan,17301504.0,0.977260410785675,0.9773,0.3636940121650696,0.3637,0.008791209198534489,0.0132,0.10109890252351761,0.1011,0.16923077404499054,0.1692,0.2527472674846649,0.2527,0.6467176675796509,0.6467,0.03903268277645111,0.0390,0.0,0.0033,0.005494505632668734,0.0198,0.009890110231935978,0.0275,0.021978022530674934,0.0401,0.6109824180603027,0.9837208986282349,0.9837,0.41661930084228516,0.4166,0.001098901149816811,0.0011,0.07252747565507889,0.0725,0.22527474164962769,0.2253,0.28901100158691406,0.2890,0.6620617508888245,0.6621,0.041782405227422714,0.0418,0.0005494505749084055,0.0005,0.004395604599267244,0.0044,0.013736264780163765,0.0137,0.02252747304737568,0.0225
CiteSeer,n2v,sg,-1,0.1,0.0,1.0,0.5,02-05-15h42m,61.00228500366211,519,40183.7265625,705139.9375,745323.6875,0.0,11371151360.0,0.9964508414268494,0.9977,0.46819621324539185,0.4682,0.0,0.0000,0.035164836794137955,0.0352,0.10109890252351761,0.1011,0.19780220091342926,0.1978,0.658610463142395,0.7028,0.14288270473480225,0.1429,0.0,0.0000,0.01318681426346302,0.0132,0.030219782143831253,0.0302,0.07197802513837814,0.0720,0.21811577677726746,0.996796190738678,0.9968,0.5115495920181274,0.5115,0.004395604599267244,0.0044,0.05494505912065506,0.0549,0.12087912857532501,0.1209,0.26813188195228577,0.2681,0.6718291640281677,0.6718,0.15304966270923615,0.1530,0.0,0.0000,0.019780220463871956,0.0198,0.05109890177845955,0.0511,0.09780219942331314,0.0978
CiteSeer,n2v,sg,10,0.1,0.0,1.0,0.5,02-05-15h41m,36.4209361076355,519,36152.78125,748002.5,784155.25,0.0,3122975232.0,0.993529200553894,0.9953,0.36110010743141174,0.4735,0.0,0.0022,0.0,0.0077,0.0,0.0549,0.007692308165132999,0.1538,0.7461720108985901,0.7501,0.11403000354766846,0.1469,0.0,0.0000,0.0,0.0033,0.0,0.0115,0.0005494505749084055,0.0324,0.15287746489048004,0.9888181686401367,0.9888,0.5060121417045593,0.5060,0.0,0.0000,0.003296703565865755,0.0033,0.048351649194955826,0.0484,0.13956044614315033,0.1396,0.75746750831604,0.7575,0.15094994008541107,0.1509,0.0,0.0000,0.0,0.0000,0.015934066846966743,0.0159,0.04780219867825508,0.0478
CiteSeer,n2v,sg_aug,10,0.1,10.0,1.0,0.5,02-05-15h43m,31.953022718429565,519,13.963955879211426,0.0,13.963955879211426,72.8686752319336,2085969408.0,0.9818278551101685,0.9818,0.2469644844532013,0.2474,0.0,0.0033,0.032967034727334976,0.0341,0.08021978288888931,0.0802,0.11428572237491608,0.1264,0.766921877861023,0.7829,0.09216512739658356,0.0922,0.0,0.0000,0.012637362815439701,0.0170,0.02857143059372902,0.0286,0.050549451261758804,0.0505,0.30984237790107727,0.975955605506897,0.9760,0.26124027371406555,0.2612,0.0,0.0000,0.019780220463871956,0.0198,0.04285714402794838,0.0429,0.06703297048807144,0.0670,0.7742598056793213,0.7743,0.09366202354431152,0.0937,0.0,0.0000,0.004945055115967989,0.0049,0.013736264780163765,0.0137,0.029120881110429764,0.0291
CiteSeer,n2v,sg_aug,1000000000,0.1,0.0,1.0,0.5,02-05-15h43m,2.7760608196258545,51,1099.87646484375,0.0,1099.87646484375,nan,2085969408.0,0.9893323183059692,0.9893,0.2757359445095062,0.2757,0.002197802299633622,0.0033,0.036263737827539444,0.0363,0.06373626738786697,0.0637,0.10109890252351761,0.1011,0.7789662480354309,0.7828,0.09246864914894104,0.0925,0.0,0.0011,0.012087912298738956,0.0126,0.018681319430470467,0.0258,0.03846153989434242,0.0505,0.40596723556518555,0.9914211630821228,0.9914,0.2860505282878876,0.2861,0.001098901149816811,0.0011,0.02857143059372902,0.0286,0.07912088185548782,0.0791,0.1219780296087265,0.1220,0.7787261605262756,0.7787,0.09147997945547104,0.0915,0.0,0.0000,0.008791209198534489,0.0088,0.025274725630879402,0.0253,0.043406594544649124,0.0434
Cora,line,sg,-1,0.1,0.0,-1.0,-1.0,02-05-15h36m,3.1590750217437744,1319,39.66175079345703,1885.9051513671875,1925.56689453125,0.0,16117248.0,0.7995455265045166,0.7995,0.08599744737148285,0.0860,0.002846299670636654,0.0028,0.012333965860307217,0.0152,0.03036053106188774,0.0304,0.03889942914247513,0.0389,0.5971058011054993,0.5983,0.027650531381368637,0.0277,0.0,0.0000,0.0014218009309843183,0.0014,0.005687203723937273,0.0057,0.00995260663330555,0.0100,1.2628073692321777,0.7928691506385803,0.7929,0.08924069255590439,0.0892,0.0,0.0000,0.016129031777381897,0.0161,0.03415559604763985,0.0342,0.05882352963089943,0.0588,0.6076581478118896,0.6077,0.029725639149546623,0.0297,0.0,0.0000,0.0004739336436614394,0.0005,0.008056871592998505,0.0081,0.011374407447874546,0.0114
Cora,line,sg,10,0.1,0.0,-1.0,-1.0,02-05-15h35m,3.1494812965393066,1319,179.31399536132812,2267.0517578125,2446.36572265625,0.0,15846912.0,0.7527827620506287,0.7528,0.07491900771856308,0.0749,0.0018975331913679838,0.0019,0.01043643243610859,0.0104,0.02561669796705246,0.0256,0.04364326223731041,0.0436,0.5715480446815491,0.5715,0.03046763874590397,0.0311,0.0,0.0014,0.006635070778429508,0.0066,0.00995260663330555,0.0100,0.015165876597166061,0.0152,1.3422744274139404,0.7754251956939697,0.7754,0.07702348381280899,0.0770,0.0,0.0000,0.009487666189670563,0.0095,0.024667931720614433,0.0247,0.032258063554763794,0.0323,0.580184280872345,0.5802,0.028904221951961517,0.0289,0.0009478672873228788,0.0009,0.006635070778429508,0.0066,0.009004739113152027,0.0090,0.012322274968028069,0.0123
