Graph,Model,Time I,Time II',Time II,Time Delta,Memory I,Memory II',Memory II,Memory Delta,AUC-ROC I,AUC-ROC II',AUC-ROC II,AUC-ROC Delta
CiteSeer,n2v,1.67 ,1.48 ,1.48 ,-11.377245508982032,3.12 ,2.09 ,2.09 ,-33.01282051282052,0.77 ,0.73 ,0.74 ,-3.8961038961038996
Cora,n2v,1.45 ,1.28 ,1.28 ,-11.724137931034479,3.12 ,2.08 ,2.08 ,-33.333333333333336,0.81 ,0.77 ,0.79 ,-2.469135802469138
PubMed,n2v,8.33 ,6.72 ,6.73 ,-19.207683073229287,3.16 ,2.12 ,2.12 ,-32.91139240506329,0.79 ,0.74 ,0.74 ,-6.329113924050638
ogbl-collab,n2v,9.67 ,9.03 ,8.98 ,-7.135470527404338,13.25 ,9.00 ,9.00 ,-32.075471698113205,0.91 ,0.81 ,0.86 ,-5.494505494505499
ogbl-ppa,n2v,24.03 ,23.00 ,23.15 ,-3.6620890553474927,14.41 ,10.16 ,10.16 ,-29.493407356002777,0.99 ,0.58 ,0.93 ,-6.060606060606055
ogbl-citation2,n2v,43.27 ,33.03 ,34.78 ,-19.620984515830834,19.25 ,15.00 ,15.00 ,-22.07792207792208,0.79 ,0.67 ,0.82 ,3.797468354430369
CiteSeer,line,14.15 ,12.00 ,11.78 ,-16.74911660777386,0.02 ,0.02 ,0.02 ,0.0,0.57 ,0.63 ,0.59 ,3.5087719298245648
Cora,line,16.50 ,13.82 ,13.58 ,-17.696969696969695,0.02 ,0.02 ,0.02 ,0.0,0.56 ,0.63 ,0.53 ,-5.357142857142861
PubMed,line,5.23 ,4.48 ,4.48 ,-14.340344168260037,0.06 ,0.06 ,0.06 ,0.0,0.59 ,0.65 ,0.67 ,13.559322033898319
ogbl-collab,line,43.28 ,34.17 ,34.10 ,-21.21072088724584,0.63 ,0.63 ,0.63 ,0.0,0.63 ,0.69 ,0.63 ,0.0
ogbl-ppa,line,64.57 ,51.50 ,51.05 ,-20.93851633885705,1.97 ,1.97 ,1.97 ,0.0,0.88 ,0.94 ,0.92 ,4.545454545454549
ogbl-citation2,line,64.93 ,50.65 ,50.55 ,-22.146927460341917,8.02 ,8.02 ,8.02 ,0.0,0.57 ,0.66 ,0.63 ,10.526315789473694
