Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100,classifier/metrics/valid/Hits_1,classifier/metrics/test/Hits_1,metrics/valid/Hits_1,metrics/test/Hits_1
CiteSeer,line,sg,10,0.001,1.0,1.0,1.0,01-27-17h28m,4.804814577102661,1139,4.05162239074707,696.0081787109375,700.059814453125,122.39470672607422,0.5588356256484985,0.024557964876294136,0.002197802299633622,0.003296703565865755,0.00659340713173151,0.5344069600105286,0.020574796944856644,0.005494505632668734,0.00659340713173151,0.009890110231935978,1.3807188272476196,296526336.0,0.5690860152244568,0.025643303990364075,0.004395604599267244,0.009890110231935978,0.01318681426346302,0.5344641208648682,0.022334953770041466,0.004945055115967989,0.008241758681833744,0.009890110231935978,,,,
CiteSeer,line,sg,10,0.01,1.0,1.0,1.0,01-27-17h28m,4.811416864395142,1139,0.4938255846500397,584.5120849609375,585.0059204101562,68.60968017578125,0.7290409207344055,0.05131569504737854,0.008791209198534489,0.018681319430470467,0.02857143059372902,0.5662066340446472,0.026079367846250534,0.005494505632668734,0.007692308165132999,0.013736264780163765,1.1723859310150146,296526336.0,0.7958904504776001,0.0522710457444191,0.007692308165132999,0.01318681426346302,0.018681319430470467,0.5736191272735596,0.023650383576750755,0.004395604599267244,0.007142857648432255,0.009340659715235233,,,,
CiteSeer,line,sg,10,0.1,1.0,1.0,1.0,01-27-17h29m,4.84834098815918,1139,96.41230773925781,2030.829833984375,2127.2421875,1761.394775390625,0.7065946459770203,0.05816527456045151,0.020879121497273445,0.02967033162713051,0.051648352295160294,0.5949606895446777,0.034643061459064484,0.008241758681833744,0.017032967880368233,0.02637362852692604,1.2036004066467285,296526336.0,0.769899845123291,0.06900090724229813,0.024175824597477913,0.0406593419611454,0.05274725705385208,0.5995976328849792,0.03329116478562355,0.007142857648432255,0.017582418397068977,0.024175824597477913,,,,
CiteSeer,line,sg,10,1.0,1.0,1.0,1.0,01-27-17h29m,4.906855344772339,1139,1174.318359375,1726.9388427734375,2901.25732421875,19678.455078125,0.5,0.001996008213609457,0.0,0.0,0.0,0.5,0.001996008213609457,0.0,0.0,0.0,34.53877639770508,296526336.0,0.5,0.001996008213609457,0.0,0.0,0.0,0.5,0.001996008213609457,0.0,0.0,0.0,,,,
CiteSeer,n2v,sg,10,0.001,1.0,1.0,1.0,01-27-17h29m,38.26631784439087,519,358447.5,3945915.25,4304363.0,25.825366973876953,0.6123486757278442,0.037779856473207474,0.009890110231935978,0.019780220463871956,0.025274725630879402,0.5754685997962952,0.023299172520637512,0.005494505632668734,0.008241758681833744,0.013736264780163765,1.3628790378570557,3122975232.0,0.5943630337715149,0.038276009261608124,0.010989011265337467,0.021978022530674934,0.02967033162713051,0.5771889686584473,0.023527927696704865,0.009890110231935978,0.010439560748636723,0.015934066846966743,,,,
CiteSeer,n2v,sg,10,0.01,1.0,1.0,1.0,01-27-17h30m,37.9762167930603,519,37314.7578125,848545.875,885860.625,5.744081974029541,0.9835143089294434,0.3102940320968628,0.04615384712815285,0.09340659528970718,0.16593407094478607,0.7799065113067627,0.1142456978559494,0.01318681426346302,0.032967034727334976,0.07197802513837814,0.27523288130760193,3122975232.0,0.9915956258773804,0.3255471885204315,0.05714286118745804,0.08791209012269974,0.1516483575105667,0.7806043028831482,0.12125170975923538,0.010989011265337467,0.04285714402794838,0.07417582720518112,,,,
CiteSeer,n2v,sg,10,0.1,1.0,1.0,1.0,01-27-17h30m,39.034196853637695,519,37634.2734375,746728.375,784362.625,46.151954650878906,0.9897643327713013,0.46276378631591797,0.035164836794137955,0.07692307978868484,0.21538463234901428,0.7390902042388916,0.14533784985542297,0.005494505632668734,0.023076923564076424,0.05769231170415878,0.08479206264019012,3122975232.0,0.993770182132721,0.4865191578865051,0.06813187152147293,0.1538461595773697,0.2571428716182709,0.7398195266723633,0.14602160453796387,0.007692308165132999,0.03736263886094093,0.049450550228357315,,,,
CiteSeer,n2v,sg,10,1.0,1.0,1.0,1.0,01-27-17h31m,38.014888286590576,519,1572187.5,7841796.5,9413984.0,1241666.375,0.5,0.001996008213609457,0.0,0.0,0.0,0.5,0.001996008213609457,0.0,0.0,0.0,34.53877639770508,3122975232.0,0.5,0.001996008213609457,0.0,0.0,0.0,0.5,0.0019960091449320316,0.0,0.0,0.0,,,,
Cora,line,sg,10,0.001,1.0,1.0,1.0,01-27-17h32m,5.571674346923828,1319,5.919322967529297,736.1448364257812,742.0641479492188,101.50493621826172,0.5948458909988403,0.04179459065198898,0.009487666189670563,0.0180265661329031,0.021821631118655205,0.5325996279716492,0.029284512624144554,0.01184834074229002,0.01895734667778015,0.0199052132666111,1.3853414058685303,296295424.0,0.5993677973747253,0.039642225950956345,0.013282732106745243,0.02087286487221718,0.023719165474176407,0.5370870232582092,0.029551802203059196,0.006161137484014034,0.018483411520719528,0.019431279972195625,,,,
Cora,line,sg,10,0.01,1.0,1.0,1.0,01-27-17h32m,5.449660539627075,1319,0.5629370212554932,507.3627014160156,507.9256286621094,73.544677734375,0.7768946886062622,0.05334845185279846,0.0066413660533726215,0.009487666189670563,0.023719165474176407,0.5747989416122437,0.03191700950264931,0.0018957345746457577,0.009478673338890076,0.013270141556859016,1.2593938112258911,296295424.0,0.8006817102432251,0.059578217566013336,0.002846299670636654,0.012333965860307217,0.018975332379341125,0.5814782977104187,0.030482156202197075,0.0028436018619686365,0.005213269963860512,0.011374407447874546,,,,
Cora,line,sg,10,0.1,1.0,1.0,1.0,01-27-17h33m,5.462713003158569,1319,179.31399536132812,2267.0517578125,2446.36572265625,1198.9095458984375,0.7689875960350037,0.07642413675785065,0.01043643243610859,0.02277039736509323,0.039848197251558304,0.5842460989952087,0.02958301454782486,0.006635070778429508,0.010900474153459072,0.016587678343057632,1.3422744274139404,296295424.0,0.7761457562446594,0.07021494209766388,0.012333965860307217,0.023719165474176407,0.032258063554763794,0.5922868251800537,0.029145430773496628,0.006161137484014034,0.009004739113152027,0.012796208262443542,,,,
