Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100,Loss/classifier_loss,classifier/metrics/valid/Hits_1,classifier/metrics/test/Hits_1,metrics/valid/Hits_1,metrics/test/Hits_1
CiteSeer,n2v,sg,10,0.1,1.0,0.25,0.25,01-27-23h45m,44.985437870025635,519,27248.091796875,752339.5625,779587.625,75.60546112060547,0.7138892412185669,0.13280390202999115,0.00659340713173151,0.018681319430470467,0.04285714402794838,0.7057836055755615,0.1460779458284378,0.02747252956032753,0.041208792477846146,0.09395604580640793,3131992064.0,0.7259025573730469,0.12558597326278687,0.0,0.024175824597477913,0.048351649194955826,0.7178577184677124,0.13659177720546722,0.019780220463871956,0.041208792477846146,0.06098901480436325,0.15814676880836487,,,,
CiteSeer,n2v,sg,10,0.1,1.0,0.25,0.5,01-27-23h46m,45.22819137573242,519,23461.46484375,748251.9375,771713.375,73.58301544189453,0.7022567987442017,0.1400117576122284,0.009890110231935978,0.032967034727334976,0.06483516842126846,0.6930186748504639,0.14358900487422943,0.008791209198534489,0.02252747304737568,0.07582417875528336,3131992064.0,0.7107179760932922,0.12448417395353317,0.0,0.018681319430470467,0.060439564287662506,0.7009722590446472,0.14059311151504517,0.003296703565865755,0.035164836794137955,0.06978022307157516,0.1323511153459549,,,,
CiteSeer,n2v,sg,10,0.1,1.0,0.25,1.0,01-27-23h47m,44.945966958999634,519,21516.65234375,747248.875,768765.5,63.275760650634766,0.6865261793136597,0.12969674170017242,0.008791209198534489,0.02857143059372902,0.050549451261758804,0.6989087462425232,0.13856124877929688,0.020879121497273445,0.03351648524403572,0.08846154063940048,3131992064.0,0.689414918422699,0.13261260092258453,0.007692308165132999,0.034065935760736465,0.06703297048807144,0.7010837197303772,0.13596554100513458,0.008241758681833744,0.028021980077028275,0.07692307978868484,0.17719054222106934,,,,
CiteSeer,n2v,sg,10,0.1,1.0,0.25,2.0,01-27-23h47m,48.210296630859375,519,20729.8984375,749660.875,770390.75,59.67666244506836,0.6937922239303589,0.12921848893165588,0.007692308165132999,0.025274725630879402,0.05714286118745804,0.6873081922531128,0.13457778096199036,0.019780220463871956,0.035164836794137955,0.07472527772188187,3131992064.0,0.6942708492279053,0.11756596714258194,0.016483517363667488,0.04615384712815285,0.07692307978868484,0.6857718825340271,0.13339205086231232,0.03241758421063423,0.055494509637355804,0.08846154063940048,0.4004412293434143,,,,
CiteSeer,n2v,sg,10,0.1,1.0,0.25,4.0,01-27-23h48m,50.38777565956116,519,14068.4580078125,755966.8125,770035.25,65.11445617675781,0.7023712396621704,0.12467852979898453,0.0,0.007692308165132999,0.01428571529686451,0.6923520565032959,0.13500967621803284,0.0,0.002747252816334367,0.032967034727334976,3131992064.0,0.7100291848182678,0.12214198708534241,0.007692308165132999,0.02637362852692604,0.07032967358827591,0.708994448184967,0.13282975554466248,0.019780220463871956,0.0357142873108387,0.06483516842126846,0.1691947728395462,,,,
CiteSeer,n2v,sg,10,0.1,1.0,0.5,0.25,01-27-23h49m,49.676146268844604,519,27248.091796875,752339.5625,779587.625,75.60546112060547,0.694591224193573,0.13280390202999115,0.00659340713173151,0.018681319430470467,0.04285714402794838,0.6968352198600769,0.1460779458284378,0.02747252956032753,0.041208792477846146,0.09395604580640793,3131992064.0,0.7173241972923279,0.12558597326278687,0.0,0.024175824597477913,0.048351649194955826,0.7059690952301025,0.13659177720546722,0.019780220463871956,0.041208792477846146,0.06098901480436325,0.15814676880836487,,,,
CiteSeer,n2v,sg,10,0.1,1.0,0.5,0.5,01-27-23h50m,49.318029165267944,519,27248.091796875,752339.5625,779587.625,75.60546112060547,0.7151012420654297,0.13280390202999115,0.00659340713173151,0.018681319430470467,0.04285714402794838,0.6986780166625977,0.1460779458284378,0.02747252956032753,0.041208792477846146,0.09395604580640793,3131992064.0,0.7155227661132812,0.12558597326278687,0.0,0.024175824597477913,0.048351649194955826,0.7054522037506104,0.13659177720546722,0.019780220463871956,0.041208792477846146,0.06098901480436325,0.15814676880836487,,,,
CiteSeer,n2v,sg,10,0.1,1.0,0.5,1.0,01-27-23h51m,49.21936559677124,519,23461.46484375,748251.9375,771713.375,73.58301544189453,0.7088938355445862,0.1400117576122284,0.009890110231935978,0.032967034727334976,0.06483516842126846,0.6920072436332703,0.14358900487422943,0.008791209198534489,0.02252747304737568,0.07582417875528336,3131992064.0,0.7031797766685486,0.12448417395353317,0.0,0.018681319430470467,0.060439564287662506,0.69599449634552,0.14059311151504517,0.003296703565865755,0.035164836794137955,0.06978022307157516,0.1323511153459549,,,,
CiteSeer,n2v,sg,10,0.1,1.0,0.5,2.0,01-27-23h52m,50.1211199760437,519,22455.01171875,749921.0625,772376.0625,69.56658935546875,0.6865330338478088,0.1311248540878296,0.015384616330265999,0.034065935760736465,0.06593406945466995,0.7014222741127014,0.14234517514705658,0.019780220463871956,0.0357142873108387,0.08296703547239304,3131992064.0,0.6986768245697021,0.11701183021068573,0.00659340713173151,0.018681319430470467,0.060439564287662506,0.7083771824836731,0.1333886981010437,0.015934066846966743,0.03956044092774391,0.07032967358827591,0.12697729468345642,,,,
CiteSeer,n2v,sg,10,0.1,1.0,0.5,4.0,01-27-23h53m,49.83382248878479,519,19723.673828125,744750.75,764474.4375,57.115562438964844,0.686569094657898,0.12728285789489746,0.008791209198534489,0.02637362852692604,0.05714286118745804,0.698776364326477,0.13471516966819763,0.020879121497273445,0.03186813369393349,0.07307692617177963,3131992064.0,0.6888392567634583,0.12836046516895294,0.01428571529686451,0.02637362852692604,0.07472527772188187,0.698967695236206,0.1372382640838623,0.004945055115967989,0.043406594544649124,0.08351648598909378,0.11005201190710068,,,,
