Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
CiteSeer,line,sg,10,0.1,1.0,events.out.tfevents.1735863497.d1009,3.47502064704895,219,0.06478174775838852,1118.9794921875,1119.0443115234375,957.3781127929688,0.8980491161346436,0.8980,4,0.05635225400328636,0.0564,4,0.007692308165132999,0.0077,4,0.5454372763633728,0.5454,4,0.01346960011869669,0.0135,4,0.0015507882926613092,0.0025,1,0.8483983874320984,320362496.0,0.9058475494384766,0.9058,20,0.08507368713617325,0.0851,20,0.010989011265337467,0.0110,20,0.538151741027832,0.5382,20,0.013750514015555382,0.0138,20,0.0015507882926613092,0.0016,20
CiteSeer,line,sg,10,0.1,1.0,events.out.tfevents.1735863634.d1009,3.8547184467315674,499,0.004597144201397896,1549.6416015625,1549.646240234375,979.16455078125,0.8109497427940369,0.8109,4,0.054472118616104126,0.0545,4,0.01318681426346302,0.0143,3,0.5543202757835388,0.5543,4,0.016751350834965706,0.0217,1,0.004732927307486534,0.0064,1,1.1448180675506592,313106944.0,0.8636160492897034,0.8636,20,0.07112806290388107,0.0711,20,0.017582418397068977,0.0176,20,0.5378333330154419,0.5378,20,0.018371321260929108,0.0184,20,0.004056795034557581,0.0041,20
CiteSeer,line,sg,10,0.1,1.0,events.out.tfevents.1735863776.d1009,4.2756123542785645,799,-0.0,138.42404174804688,138.42404174804688,1106.9029541015625,0.7708718776702881,0.7709,4,0.06850162893533707,0.0685,4,0.019780220463871956,0.0231,1,0.5522826910018921,0.5679,2,0.029908888041973114,0.0303,1,0.007080078125,0.0161,2,0.9210786819458008,305849344.0,0.7760820984840393,0.7761,20,0.07456270605325699,0.0746,20,0.02747252956032753,0.0275,20,0.5613060593605042,0.5613,20,0.03006407991051674,0.0301,20,0.01416015625,0.0142,20
CiteSeer,line,sg,10,0.1,1.0,events.out.tfevents.1735863921.d1009,4.617579221725464,1079,69.07755279541016,777.1002197265625,846.1777954101562,1410.95458984375,0.7281568646430969,0.7282,4,0.06113123893737793,0.0611,4,0.03736263886094093,0.0374,4,0.5873763561248779,0.5874,4,0.031962811946868896,0.0348,2,0.01713532581925392,0.0224,3,1.1340718269348145,298083328.0,0.7264644503593445,0.7265,20,0.06859289854764938,0.0686,20,0.020879121497273445,0.0209,20,0.5919459462165833,0.5919,20,0.03229699656367302,0.0323,20,0.013181019574403763,0.0132,20
CiteSeer,line,sg_aug,10,0.1,0.1,events.out.tfevents.1735863507.d1009,3.4078309535980225,219,2.348432462895289e-05,0.0,2.348432462895289e-05,446.171875,0.9741637110710144,0.9742,4,0.3548845052719116,0.3549,4,0.1538461595773697,0.1538,4,0.5248599052429199,0.5292,2,0.01239040307700634,0.0176,3,0.0010338588617742062,0.0034,3,0.5548877120018005,320362496.0,0.9750906229019165,0.9751,20,0.36642029881477356,0.3664,20,0.1439560502767563,0.1440,20,0.522666871547699,0.5227,20,0.01304035447537899,0.0130,20,0.0014215558767318726,0.0014,20
CiteSeer,line,sg_aug,10,0.1,0.1,events.out.tfevents.1735863646.d1009,3.653306722640991,499,7.033369911368936e-05,0.0,7.033369911368936e-05,0.09461376816034317,0.9571406245231628,0.9571,4,0.300814688205719,0.3008,4,0.07692307978868484,0.0901,3,0.5450468063354492,0.5450,4,0.024023914709687233,0.0240,4,0.004056795034557581,0.0041,4,0.5176938772201538,313106944.0,0.9715919494628906,0.9716,20,0.37494924664497375,0.3749,20,0.12087912857532501,0.1209,20,0.5284227132797241,0.5284,20,0.016549425199627876,0.0165,20,0.0015212981961667538,0.0015,20
CiteSeer,line,sg_aug,10,0.1,0.1,events.out.tfevents.1735863787.d1009,3.9623074531555176,799,1.4662833564216271e-05,0.0,1.4662833564216271e-05,605.7048950195312,0.9571795463562012,0.9572,4,0.305483877658844,0.3055,4,0.11098901927471161,0.1110,4,0.6057421565055847,0.6057,4,0.030320655554533005,0.0303,4,0.009033203125,0.0090,4,0.4014844596385956,305849344.0,0.9425597190856934,0.9426,20,0.31971853971481323,0.3197,20,0.12417583167552948,0.1242,20,0.6005840301513672,0.6006,20,0.03255579248070717,0.0326,20,0.01025390625,0.0103,20
CiteSeer,line,sg_aug,10,0.1,0.1,events.out.tfevents.1735863932.d1009,4.20508074760437,1079,1.2755406714859419e-05,0.0,1.2755406714859419e-05,605.2698364257812,0.9505091905593872,0.9505,4,0.32037633657455444,0.3204,4,0.17472527921199799,0.1747,4,0.6191925406455994,0.6192,4,0.03413521125912666,0.0350,3,0.018453426659107208,0.0185,4,0.5134916305541992,298083328.0,0.9446126818656921,0.9446,20,0.318926602602005,0.3189,20,0.11318682134151459,0.1132,20,0.623663604259491,0.6237,20,0.03786301240324974,0.0379,20,0.004833040293306112,0.0048,20
CiteSeer,line,sg_aug,10,0.1,1.0,events.out.tfevents.1735863519.d1009,3.404940605163574,219,8.225466444855556e-06,0.0,8.225466444855556e-06,1594.323486328125,0.965224027633667,0.9652,4,0.33354032039642334,0.3335,4,0.11978022754192352,0.1198,4,0.5294535160064697,0.5360,2,0.011592700146138668,0.0160,3,0.0023261825554072857,0.0031,3,0.5387067794799805,320362496.0,0.9752597808837891,0.9753,20,0.3135696053504944,0.3136,20,0.09780219942331314,0.0978,20,0.5353012681007385,0.5353,20,0.0160762257874012,0.0161,20,0.0012923235772177577,0.0013,20
CiteSeer,line,sg_aug,10,0.1,1.0,events.out.tfevents.1735863656.d1009,3.687037706375122,499,0.001165004214271903,0.0,0.001165004214271903,2255.701416015625,0.9365973472595215,0.9366,4,0.20455390214920044,0.2046,4,0.05824176222085953,0.0582,3,0.546671986579895,0.5467,4,0.023795239627361298,0.0238,4,0.005409060046076775,0.0063,2,0.5603267550468445,313106944.0,0.9647828936576843,0.9648,20,0.2700592279434204,0.2701,20,0.10769231617450714,0.1077,20,0.5465014576911926,0.5465,20,0.017179816961288452,0.0172,20,0.0013522650115191936,0.0014,20
