Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch,Loss/classifier_loss
CiteSeer,line,sg,10,0.1,1.0,events.out.tfevents.1733337338.d1016,3.706592082977295,249,9.008038520812988,1029.563232421875,1038.5712890625,311.71435546875,0.5801048278808594,0.5801,4,0.0322519913315773,0.0379,4,0.012087912298738956,0.0209,2,0.5853014588356018,0.6095,4,0.025587430223822594,0.0310,4,0.003296703565865755,0.0165,1,296526336.0,0.6077287793159485,0.6077,5,0.03233833611011505,0.0323,5,0.009890110231935978,0.0099,5,0.5723611116409302,0.6102,1,0.02634252794086933,0.0306,1,0.00659340713173151,0.0093,1,1.2624893188476562
CiteSeer,line,sg_aug,1,0.1,0.1,events.out.tfevents.1733337408.d1016,3.817072629928589,249,0.0005103654111735523,0.0,0.0005103654111735523,355.6532897949219,0.6079696416854858,0.6427,3,0.030756304040551186,0.0329,3,0.015384616330265999,0.0198,3,0.6272739171981812,0.6273,4,0.03814809396862984,0.0381,4,0.018681319430470467,0.0187,4,296526336.0,0.6570078730583191,0.6570,5,0.03564082831144333,0.0356,5,0.017582418397068977,0.0176,5,0.6134012341499329,0.6134,5,0.03820997476577759,0.0382,5,0.011538461782038212,0.0143,1,0.6333329677581787
CiteSeer,line,sg_aug,1,0.1,1.0,events.out.tfevents.1733337391.d1016,3.7784533500671387,249,0.002141864039003849,0.0,0.002141864039003849,502.7417907714844,0.5781315565109253,0.6124,4,0.02524256333708763,0.0389,3,0.003296703565865755,0.0176,3,0.5876345634460449,0.6033,4,0.03382018953561783,0.0362,4,0.009340659715235233,0.0159,3,296526336.0,0.6045147180557251,0.6045,5,0.035409074276685715,0.0354,5,0.012087912298738956,0.0121,1,0.6066473722457886,0.6066,5,0.03754367306828499,0.0375,5,0.01318681426346302,0.0137,1,0.799383282661438
CiteSeer,line,sg_aug,1,0.1,10.0,events.out.tfevents.1733337375.d1016,3.761516809463501,249,0.08523831516504288,0.0,0.08523831516504288,354.83758544921875,0.5097748637199402,0.5786,2,0.029580434784293175,0.0369,3,0.017582418397068977,0.0242,2,0.5709764361381531,0.5756,4,0.027491221204400063,0.0297,3,0.008791209198534489,0.0115,2,296526336.0,0.5339277386665344,0.5682,1,0.030509648844599724,0.0345,1,0.015384616330265999,0.0154,5,0.5709048509597778,0.5873,1,0.030232038348913193,0.0325,1,0.007692308165132999,0.0077,5,1.1987416744232178
CiteSeer,line,sg_aug,1,0.1,100.0,events.out.tfevents.1733337358.d1016,3.748595952987671,249,4.140350341796875,0.0,4.140350341796875,214.2919921875,0.5378565788269043,0.5636,3,0.02887767180800438,0.0377,2,0.016483517363667488,0.0176,1,0.557302713394165,0.5696,4,0.028127722442150116,0.0291,4,0.007692308165132999,0.0121,2,296526336.0,0.5544340014457703,0.5645,1,0.03476084768772125,0.0348,5,0.018681319430470467,0.0187,5,0.5530770421028137,0.5666,1,0.027498958632349968,0.0291,1,0.008791209198534489,0.0088,5,1.3003003597259521
CiteSeer,line,sg_aug,10,0.1,0.1,events.out.tfevents.1733337479.d1016,3.6321301460266113,249,0.0001581947144586593,0.0,0.0001581947144586593,0.00016950287681538612,0.5715776085853577,0.6181,3,0.030882442370057106,0.0372,3,0.008791209198534489,0.0154,1,0.6202077269554138,0.6247,4,0.03258013352751732,0.0348,3,0.009340659715235233,0.0137,1,296526336.0,0.6095849871635437,0.6266,1,0.03409599885344505,0.0341,5,0.008791209198534489,0.0088,5,0.6364235281944275,0.6364,5,0.03612181171774864,0.0361,5,0.007142857648432255,0.0071,5,0.6936178207397461
CiteSeer,line,sg_aug,10,0.1,1.0,events.out.tfevents.1733337461.d1016,3.72853422164917,249,0.002570347161963582,0.0,0.002570347161963582,2780.2314453125,0.6211002469062805,0.6211,4,0.033706095069646835,0.0368,3,0.01318681426346302,0.0165,3,0.6047139763832092,0.6047,4,0.035779714584350586,0.0377,3,0.018131868913769722,0.0181,4,296526336.0,0.6168151497840881,0.6168,5,0.03319837898015976,0.0332,5,0.012087912298738956,0.0121,1,0.6041610836982727,0.6042,5,0.03538041189312935,0.0354,5,0.017032967880368233,0.0170,5,0.7021002769470215
CiteSeer,line,sg_aug,10,0.1,10.0,events.out.tfevents.1733337446.d1016,3.6292459964752197,249,0.0066086724400520325,0.0,0.0066086724400520325,8543.572265625,0.577595591545105,0.5776,4,0.029042623937129974,0.0361,3,0.012087912298738956,0.0176,1,0.5746107697486877,0.5967,3,0.03369865193963051,0.0377,2,0.01318681426346302,0.0132,4,296526336.0,0.5848581790924072,0.5849,5,0.031795281916856766,0.0318,5,0.020879121497273445,0.0209,5,0.6112114787101746,0.6112,5,0.034363292157649994,0.0344,5,0.012087912298738956,0.0159,1,1.1213818788528442
CiteSeer,line,sg_aug,10,0.1,100.0,events.out.tfevents.1733337428.d1016,3.6364357471466064,249,0.7929244041442871,0.0,0.7929244041442871,992.0744018554688,0.5786868333816528,0.5840,3,0.030459841713309288,0.0355,3,0.007692308165132999,0.0198,1,0.5682763457298279,0.5832,3,0.028192516416311264,0.0332,3,0.00659340713173151,0.0121,1,296526336.0,0.5730627775192261,0.5986,1,0.027916837483644485,0.0313,1,0.016483517363667488,0.0165,5,0.5832701325416565,0.5833,5,0.03052002191543579,0.0305,5,0.007692308165132999,0.0082,1,1.2327415943145752
CiteSeer,line,sg_aug,100,0.1,0.1,events.out.tfevents.1733337548.d1016,3.620828151702881,249,3.576279254957626e-07,0.0,3.576279254957626e-07,49762.87890625,0.625298798084259,0.6275,3,0.027363821864128113,0.0353,4,0.007692308165132999,0.0187,3,0.6416622996330261,0.6423,4,0.03453301638364792,0.0378,4,0.010439560748636723,0.0126,3,296526336.0,0.6209644675254822,0.6210,5,0.027112668380141258,0.0295,1,0.008791209198534489,0.0121,1,0.6373465657234192,0.6373,5,0.038220420479774475,0.0382,5,0.008791209198534489,0.0110,1,0.4538104832172394
