Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,Loss/classifier_loss,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_1,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_1,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100
CiteSeer,line,sg,-1,0.1,1.0,1.0,1.0,01-30-00h06m,5.03938889503479,1139,-0.0,1985.759033203125,1985.759033203125,397.4422912597656,17705984.0,0.8237610459327698,0.10331115871667862,0.0,0.03186813369393349,0.05494505912065506,0.07252747565507889,0.6097621917724609,0.03109760582447052,0.001098901149816811,0.017032967880368233,0.02747252956032753,0.03241758421063423,1.0321356058120728,0.8645640015602112,0.1130656898021698,0.0,0.02967033162713051,0.03846153989434242,0.05824176222085953,0.6154692769050598,0.035574737936258316,0.0,0.013736264780163765,0.024725275114178658,0.03186813369393349
CiteSeer,line,sg,10,0.1,1.0,1.0,1.0,01-30-00h05m,5.121206283569336,1139,96.41230773925781,2030.829833984375,2127.2421875,1761.394775390625,17435648.0,0.7194111943244934,0.06027357280254364,0.008791209198534489,0.019780220463871956,0.03846153989434242,0.04725274816155434,0.59063321352005,0.03402198106050491,0.0016483517829328775,0.008241758681833744,0.01923076994717121,0.024725275114178658,1.2036004066467285,0.778619647026062,0.07703914493322372,0.005494505632668734,0.023076923564076424,0.03736263886094093,0.05714286118745804,0.6010950803756714,0.0324687622487545,0.0,0.005494505632668734,0.014835165813565254,0.020879121497273445
CiteSeer,line,sg_aug,100,0.1,0.1,1.0,1.0,01-30-00h06m,4.62778902053833,1139,0.00016951997531577945,0.0,0.00016951997531577945,56817.875,17301504.0,0.9722435474395752,0.3600420653820038,0.005494505632668734,0.1318681389093399,0.1934065967798233,0.2725274860858917,0.6730495691299438,0.03435641527175903,0.0,0.008791209198534489,0.018131868913769722,0.02747252956032753,0.5664771199226379,0.9602428674697876,0.39062026143074036,0.0,0.08791209012269974,0.19780220091342926,0.2758241891860962,0.6487025022506714,0.03621240332722664,0.0,0.001098901149816811,0.008791209198534489,0.013736264780163765
CiteSeer,line,sg_aug,1000000000,0.1,1.0,1.0,1.0,01-30-00h06m,2.5147972106933594,113,0.0005913370987400413,0.0,0.0005913370987400413,588.1057739257812,17301504.0,0.9725539088249207,0.3636940121650696,0.008791209198534489,0.10109890252351761,0.16923077404499054,0.2527472674846649,0.6449142098426819,0.03903268277645111,0.0,0.005494505632668734,0.009890110231935978,0.021978022530674934,0.6109824180603027,0.9764252305030823,0.41661930084228516,0.001098901149816811,0.07252747565507889,0.22527474164962769,0.28901100158691406,0.6418879628181458,0.041782405227422714,0.0005494505749084055,0.004395604599267244,0.013736264780163765,0.02252747304737568
CiteSeer,n2v,sg,-1,0.1,1.0,1.0,0.5,01-30-00h03m,62.13127636909485,519,40183.7265625,705139.9375,745323.6875,255.80384826660156,11371151360.0,0.9956746697425842,0.46819621324539185,0.0,0.035164836794137955,0.10109890252351761,0.19780220091342926,0.6642677187919617,0.14288270473480225,0.0,0.01318681426346302,0.030219782143831253,0.07197802513837814,0.21811577677726746,0.9962262511253357,0.5115495920181274,0.004395604599267244,0.05494505912065506,0.12087912857532501,0.26813188195228577,0.6745014786720276,0.15304966270923615,0.0,0.019780220463871956,0.05109890177845955,0.09780219942331314
CiteSeer,n2v,sg,10,0.1,1.0,1.0,0.5,01-30-00h02m,39.412941694259644,519,36152.78125,748002.5,784155.25,51.3128776550293,3122975232.0,0.9955388307571411,0.36110010743141174,0.0,0.0,0.0,0.007692308165132999,0.744188129901886,0.11403000354766846,0.0,0.0,0.0,0.0005494505749084055,0.15287746489048004,0.9973776340484619,0.5060121417045593,0.0,0.003296703565865755,0.048351649194955826,0.13956044614315033,0.7535654306411743,0.15094994008541107,0.0,0.0,0.015934066846966743,0.04780219867825508
CiteSeer,n2v,sg_aug,100,0.1,100.0,1.0,0.5,01-30-00h05m,35.27234387397766,519,373.54083251953125,0.0,373.54083251953125,41992.73828125,2085969408.0,0.9839199781417847,0.28276464343070984,0.001098901149816811,0.025274725630879402,0.05604396015405655,0.1329670399427414,0.7954425811767578,0.09385676681995392,0.0005494505749084055,0.017032967880368233,0.0357142873108387,0.06483516842126846,0.24931344389915466,0.9890060424804688,0.30390650033950806,0.0,0.04395604506134987,0.08681318908929825,0.14835165441036224,0.7996429800987244,0.0976555198431015,0.0005494505749084055,0.01428571529686451,0.03351648524403572,0.061538465321063995
CiteSeer,n2v,sg_aug,1000000000,0.1,1.0,1.0,0.5,01-30-00h05m,5.114574670791626,51,1099.87646484375,0.0,1099.87646484375,15979.369140625,2085969408.0,0.9738026261329651,0.2757359445095062,0.002197802299633622,0.036263737827539444,0.06373626738786697,0.10109890252351761,0.7776703238487244,0.09246864914894104,0.0,0.012087912298738956,0.018681319430470467,0.03846153989434242,0.40596723556518555,0.9795846939086914,0.2860505282878876,0.001098901149816811,0.02857143059372902,0.07912088185548782,0.1219780296087265,0.7840168476104736,0.09147997945547104,0.0,0.008791209198534489,0.025274725630879402,0.043406594544649124
Cora,line,sg,-1,0.1,1.0,1.0,1.0,01-30-00h02m,5.787700891494751,1319,39.66175079345703,1885.9051513671875,1925.56689453125,350.6269836425781,16117248.0,0.8023388385772705,0.08599744737148285,0.002846299670636654,0.012333965860307217,0.03036053106188774,0.03889942914247513,0.6019789576530457,0.027650531381368637,0.0,0.0014218009309843183,0.005687203723937273,0.00995260663330555,1.2628073692321777,0.7861158847808838,0.08924069255590439,0.0,0.016129031777381897,0.03415559604763985,0.05882352963089943,0.608512282371521,0.029725639149546623,0.0,0.0004739336436614394,0.008056871592998505,0.011374407447874546
Cora,line,sg,10,0.1,1.0,1.0,1.0,01-30-00h01m,5.75941801071167,1319,179.31399536132812,2267.0517578125,2446.36572265625,1198.9095458984375,15846912.0,0.7426673173904419,0.07491900771856308,0.0018975331913679838,0.01043643243610859,0.02561669796705246,0.04364326223731041,0.5826510190963745,0.03046763874590397,0.0,0.006635070778429508,0.00995260663330555,0.015165876597166061,1.3422744274139404,0.7670568227767944,0.07702348381280899,0.0,0.009487666189670563,0.024667931720614433,0.032258063554763794,0.5846534371376038,0.028904221951961517,0.0009478672873228788,0.006635070778429508,0.009004739113152027,0.012322274968028069
