Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
CiteSeer,line,sg,10,0.1,1,events.out.tfevents.1733356427.d1024,4.672003984,1139,96.41230774,2030.829834,2127.242188,1761.394775,0.730677366,0.7307,4,0.057790134,0.0578,4,0.029670332,0.0385,3,0.588897228,0.5889,4,0.035824452,0.0358,4,0.017582418,0.0176,3,1.203600407,296526336,0.778953195,0.779,20,0.075010009,0.075,20,0.039560441,0.0396,20,0.601044774,0.601,20,0.034337595,0.0343,20,0.017582418,0.0176,20
CiteSeer,line,sg_aug,100,0.1,0.1,events.out.tfevents.1733356459.d1024,4.212504864,1139,0.00016952,0,0.00016952,56817.875,0.975100756,0.9751,4,0.348998785,0.349,4,0.189010993,0.189,4,0.672703147,0.6727,4,0.037247293,0.0372,4,0.016483517,0.0165,3,0.56647712,296526336,0.979718208,0.9797,20,0.387635052,0.3876,20,0.204395607,0.2044,20,0.64694649,0.6469,20,0.034773625,0.0348,20,0.006043956,0.006,20
CiteSeer,line,sg_aug,1000000000,0.1,1,events.out.tfevents.1733356471.d1024,2.041671276,113,0.000591337,0,0.000591337,588.1057739,0.966865003,0.9669,4,0.350198925,0.3502,4,0.167032972,0.167,4,0.643566906,0.6436,4,0.040518183,0.0405,4,0.012637363,0.0291,1,0.610982418,296526336,0.982908607,0.9829,2,0.395180583,0.3952,2,0.210989028,0.211,2,0.644207835,0.6442,2,0.041174747,0.0412,2,0.015384616,0.0154,2
CiteSeer,n2v,sg,10,0.1,1,events.out.tfevents.1733356249.d1024,39.32193971,519,37634.27344,746728.375,784362.625,46.15195465,0.992046952,0.9948,2,0.453498751,0.4672,3,0.109890118,0.1418,3,0.732038379,0.7457,1,0.146991447,0.152,3,0.024175825,0.0462,3,0.084792063,3122975232,0.996920526,0.9969,20,0.486826301,0.4868,20,0.157142863,0.1571,20,0.730935395,0.7309,20,0.146004781,0.146,20,0.033516485,0.0335,20
CiteSeer,n2v,sg_aug,100,0.1,100,events.out.tfevents.1733356371.d1024,35.20319724,519,1066.148193,0,1066.148193,42150.18359,0.982315302,0.9823,4,0.262217015,0.2622,4,0.068131872,0.0857,2,0.782569945,0.7861,3,0.090843774,0.0926,3,0.023626374,0.0401,1,0.236673325,2085969408,0.983346403,0.9833,20,0.321611434,0.3216,20,0.096703298,0.0967,20,0.789034843,0.789,20,0.104278646,0.1043,20,0.030769233,0.0308,20
CiteSeer,n2v,sg_aug,1000000000,0.1,1,events.out.tfevents.1733356414.d1024,4.680968761,51,824.909668,0,824.909668,16007.69336,0.984777629,0.9848,4,0.263796926,0.2638,4,0.073626377,0.0736,4,0.78601861,0.7928,3,0.091154449,0.0912,4,0.025274726,0.0346,2,0.286449552,2085969408,0.984716296,0.9847,2,0.283099324,0.2831,2,0.093406595,0.0934,2,0.786956966,0.787,2,0.090672642,0.0907,2,0.030769233,0.0308,2
Cora,line,sg,10,0.1,1,events.out.tfevents.1733356197.d1024,5.350389242,1319,179.3139954,2267.051758,2446.365723,1198.909546,0.746582329,0.7466,4,0.073191926,0.0732,4,0.022770397,0.0228,4,0.580035388,0.58,4,0.031456884,0.0315,4,0.010900474,0.0109,4,1.342274427,296295424,0.760656536,0.7607,20,0.074265637,0.0743,20,0.023719165,0.0237,20,0.587095737,0.5871,20,0.029321838,0.0293,20,0.009004739,0.009,20
Cora,line,sg_aug,100,0.1,100,events.out.tfevents.1733356225.d1024,4.780045748,1319,0.000378764,0,0.000378764,32941.54688,0.962861359,0.9629,4,0.299702495,0.2997,4,0.107210629,0.1157,3,0.677214444,0.6772,4,0.04430728,0.0443,4,0.009952607,0.0152,1,0.596094251,296295424,0.972412646,0.9724,20,0.314612299,0.3146,20,0.127134725,0.1271,20,0.675934196,0.6759,20,0.043036044,0.043,20,0.006635071,0.0066,20
Cora,line,sg_aug,1000000000,0.1,1,events.out.tfevents.1733356237.d1024,2.301590443,131,0.000395128,0,0.000395128,917.9366455,0.940327823,0.9403,4,0.288072675,0.2881,4,0.110056922,0.1101,4,0.65642488,0.6564,4,0.03416435,0.0351,3,0.005687204,0.0081,3,0.655903816,296295424,0.959864318,0.9599,2,0.3080616,0.3081,2,0.104364328,0.1044,2,0.671838164,0.6718,2,0.038769834,0.0388,2,0.007109005,0.0071,2
Cora,n2v,sg,10,0.1,1,events.out.tfevents.1733356037.d1024,33.94337797,439,26361.19727,120598.75,146959.9531,55.61981583,0.995778918,0.9958,4,0.449207276,0.4492,4,0.150853887,0.1509,4,0.856945455,0.8587,3,0.152633041,0.1526,4,0.031753555,0.0322,1,0.183699623,3121920512,0.991145074,0.9911,20,0.414346784,0.4143,20,0.068311192,0.0683,20,0.857149005,0.8571,20,0.142203867,0.1422,20,0.019905213,0.0199,20
