Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
CiteSeer,line,sg,-1,0.1,1.0,events.out.tfevents.1733356444.d1024,4.674429178237915,1139,-0.0,1985.759033203125,1985.759033203125,397.4422912597656,0.821010410785675,0.8210,4,0.10445176810026169,0.1045,4,0.049450550228357315,0.0560,3,0.6017752885818481,0.6018,4,0.031687501817941666,0.0319,3,0.02637362852692604,0.0363,3,1.0321356058120728,296526336.0,0.8459516763687134,0.8460,20,0.11481679975986481,0.1148,20,0.03736263886094093,0.0374,20,0.6172392964363098,0.6172,20,0.033820584416389465,0.0338,20,0.024725275114178658,0.0247,20
CiteSeer,line,sg,10,0.1,1.0,events.out.tfevents.1733356427.d1024,4.672003984451294,1139,96.41230773925781,2030.829833984375,2127.2421875,1761.394775390625,0.7306773662567139,0.7307,4,0.057790134102106094,0.0578,4,0.02967033162713051,0.0385,3,0.5888972282409668,0.5889,4,0.035824451595544815,0.0358,4,0.017582418397068977,0.0176,3,1.2036004066467285,296526336.0,0.7789531946182251,0.7790,20,0.07501000910997391,0.0750,20,0.03956044092774391,0.0396,20,0.601044774055481,0.6010,20,0.034337595105171204,0.0343,20,0.017582418397068977,0.0176,20
CiteSeer,line,sg_aug,100,0.1,0.1,events.out.tfevents.1733356459.d1024,4.212504863739014,1139,0.00016951997531577945,0.0,0.00016951997531577945,56817.875,0.9751007556915283,0.9751,4,0.3489987850189209,0.3490,4,0.18901099264621735,0.1890,4,0.6727031469345093,0.6727,4,0.03724729269742966,0.0372,4,0.016483517363667488,0.0165,3,0.5664771199226379,296526336.0,0.9797182083129883,0.9797,20,0.3876350522041321,0.3876,20,0.2043956071138382,0.2044,20,0.6469464898109436,0.6469,20,0.03477362543344498,0.0348,20,0.006043956149369478,0.0060,20
CiteSeer,line,sg_aug,1000000000,0.1,1.0,events.out.tfevents.1733356471.d1024,2.0416712760925293,113,0.0005913370987400413,0.0,0.0005913370987400413,588.1057739257812,0.9668650031089783,0.9669,4,0.3501989245414734,0.3502,4,0.16703297197818756,0.1670,4,0.643566906452179,0.6436,4,0.04051818326115608,0.0405,4,0.012637362815439701,0.0291,1,0.6109824180603027,296526336.0,0.9829086065292358,0.9829,2,0.3951805830001831,0.3952,2,0.21098902821540833,0.2110,2,0.6442078351974487,0.6442,2,0.0411747470498085,0.0412,2,0.015384616330265999,0.0154,2
CiteSeer,n2v,sg,-1,0.1,1.0,events.out.tfevents.1733356298.d1024,61.92618370056152,519,40025.36328125,702463.9375,742489.3125,245.60043334960938,0.9994097352027893,0.9998,3,0.5228431820869446,0.5228,4,0.15824176371097565,0.1582,4,0.6679791212081909,0.6680,4,0.15088795125484467,0.1509,4,0.0406593419611454,0.0407,4,0.12661300599575043,11371993088.0,0.9997016787528992,0.9997,20,0.5323386788368225,0.5323,20,0.16043956577777863,0.1604,20,0.6713424324989319,0.6713,20,0.1555081605911255,0.1555,20,0.06373626738786697,0.0637,20
CiteSeer,n2v,sg,10,0.1,1.0,events.out.tfevents.1733356249.d1024,39.32193970680237,519,37634.2734375,746728.375,784362.625,46.151954650878906,0.9920469522476196,0.9948,2,0.4534987509250641,0.4672,3,0.10989011824131012,0.1418,3,0.7320383787155151,0.7457,1,0.14699144661426544,0.1520,3,0.024175824597477913,0.0462,3,0.08479206264019012,3122975232.0,0.9969205260276794,0.9969,20,0.4868263006210327,0.4868,20,0.15714286267757416,0.1571,20,0.7309353947639465,0.7309,20,0.146004781126976,0.1460,20,0.03351648524403572,0.0335,20
CiteSeer,n2v,sg_aug,100,0.1,100.0,events.out.tfevents.1733356371.d1024,35.20319724082947,519,1066.148193359375,0.0,1066.148193359375,42150.18359375,0.9823153018951416,0.9823,4,0.2622170150279999,0.2622,4,0.06813187152147293,0.0857,2,0.782569944858551,0.7861,3,0.09084377437829971,0.0926,3,0.02362637408077717,0.0401,1,0.23667332530021667,2085969408.0,0.9833464026451111,0.9833,20,0.3216114342212677,0.3216,20,0.09670329838991165,0.0967,20,0.7890348434448242,0.7890,20,0.10427864640951157,0.1043,20,0.030769232660531998,0.0308,20
CiteSeer,n2v,sg_aug,1000000000,0.1,1.0,events.out.tfevents.1733356414.d1024,4.680968761444092,51,824.90966796875,0.0,824.90966796875,16007.693359375,0.9847776293754578,0.9848,4,0.26379692554473877,0.2638,4,0.07362637668848038,0.0736,4,0.7860186100006104,0.7928,3,0.09115444868803024,0.0912,4,0.025274725630879402,0.0346,2,0.2864495515823364,2085969408.0,0.9847162961959839,0.9847,2,0.28309932351112366,0.2831,2,0.09340659528970718,0.0934,2,0.7869569659233093,0.7870,2,0.09067264199256897,0.0907,2,0.030769232660531998,0.0308,2
Cora,line,sg,-1,0.1,1.0,events.out.tfevents.1733356213.d1024,5.322767019271851,1319,39.66175079345703,1885.9051513671875,1925.56689453125,350.6269836425781,0.7918718457221985,0.7919,4,0.08139602839946747,0.0814,4,0.021821631118655205,0.0237,3,0.597442090511322,0.5974,4,0.028318535536527634,0.0283,4,0.005213269963860512,0.0052,4,1.2628073692321777,296295424.0,0.797969400882721,0.7980,20,0.09365295618772507,0.0937,20,0.032258063554763794,0.0323,20,0.5982087254524231,0.5982,20,0.0306103378534317,0.0306,20,0.006635070778429508,0.0066,20
Cora,line,sg,10,0.1,1.0,events.out.tfevents.1733356197.d1024,5.350389242172241,1319,179.31399536132812,2267.0517578125,2446.36572265625,1198.9095458984375,0.7465823292732239,0.7466,4,0.07319192588329315,0.0732,4,0.02277039736509323,0.0228,4,0.580035388469696,0.5800,4,0.03145688399672508,0.0315,4,0.010900474153459072,0.0109,4,1.3422744274139404,296295424.0,0.7606565356254578,0.7607,20,0.07426563650369644,0.0743,20,0.023719165474176407,0.0237,20,0.5870957374572754,0.5871,20,0.029321838170289993,0.0293,20,0.009004739113152027,0.0090,20
Cora,line,sg_aug,100,0.1,100.0,events.out.tfevents.1733356225.d1024,4.780045747756958,1319,0.0003787635359913111,0.0,0.0003787635359913111,32941.546875,0.9628613591194153,0.9629,4,0.2997024953365326,0.2997,4,0.10721062868833542,0.1157,3,0.6772144436836243,0.6772,4,0.04430728033185005,0.0443,4,0.00995260663330555,0.0152,1,0.5960942506790161,296295424.0,0.972412645816803,0.9724,20,0.3146122992038727,0.3146,20,0.12713472545146942,0.1271,20,0.6759341955184937,0.6759,20,0.043036043643951416,0.0430,20,0.006635070778429508,0.0066,20
Cora,line,sg_aug,1000000000,0.1,1.0,events.out.tfevents.1733356237.d1024,2.3015904426574707,131,0.0003951279213652015,0.0,0.0003951279213652015,917.9366455078125,0.9403278231620789,0.9403,4,0.2880726754665375,0.2881,4,0.11005692183971405,0.1101,4,0.656424880027771,0.6564,4,0.03416435047984123,0.0351,3,0.005687203723937273,0.0081,3,0.6559038162231445,296295424.0,0.9598643183708191,0.9599,2,0.3080615997314453,0.3081,2,0.10436432808637619,0.1044,2,0.6718381643295288,0.6718,2,0.038769833743572235,0.0388,2,0.0071090045385062695,0.0071,2
Cora,n2v,sg,-1,0.1,1.0,events.out.tfevents.1733356080.d1024,52.82963490486145,439,28618.0,124553.953125,153171.953125,150.81080627441406,0.9950351715087891,0.9971,3,0.47998490929603577,0.4800,4,0.18121442198753357,0.1812,4,0.8146129846572876,0.8291,1,0.14372338354587555,0.1437,4,0.015639809891581535,0.0322,3,0.12067044526338577,11372784640.0,0.9964833855628967,0.9965,20,0.46225130558013916,0.4623,20,0.15939278900623322,0.1594,20,0.8001099228858948,0.8001,20,0.14199015498161316,0.1420,20,0.0199052132666111,0.0199,20
Cora,n2v,sg,10,0.1,1.0,events.out.tfevents.1733356037.d1024,33.94337797164917,439,26361.197265625,120598.75,146959.953125,55.619815826416016,0.9957789182662964,0.9958,4,0.44920727610588074,0.4492,4,0.15085388720035553,0.1509,4,0.8569454550743103,0.8587,3,0.15263304114341736,0.1526,4,0.031753554940223694,0.0322,1,0.1836996227502823,3121920512.0,0.9911450743675232,0.9911,20,0.4143467843532562,0.4143,20,0.0683111920952797,0.0683,20,0.8571490049362183,0.8571,20,0.14220386743545532,0.1422,20,0.0199052132666111,0.0199,20
