Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.02-0.02,line,sg,10,0.01,1.0,events.out.tfevents.1736218460.d1002,23.713063716888428,3209,3.077420234680176,158.19387817382812,161.27130126953125,33.16423797607422,0.7284844517707825,0.7285,4,0.01361028105020523,0.0136,4,0.0014617034466937184,0.0018,3,0.7079499959945679,0.7079,4,0.012030184268951416,0.0120,4,0.0017051544273272157,0.0017,4,1.0211395025253296,369526784.0,0.7315006256103516,0.7315,5,0.013237410224974155,0.0132,5,0.0014617034466937184,0.0015,5,0.7155683636665344,0.7156,5,0.011781876906752586,0.0118,5,0.0009256553021259606,0.0009,5
SBM-0.02-0.02,line,sg_aug,100,0.01,1.0,events.out.tfevents.1736218494.d1002,22.515689373016357,3209,0.05768004059791565,0.0,0.05768004059791565,0.0338556133210659,0.7489048838615417,0.7489,4,0.01495327614247799,0.0150,3,0.0007795751444064081,0.0016,2,0.7353348135948181,0.7353,4,0.012945640832185745,0.0129,4,0.0009743740083649755,0.0012,1,0.9999305009841919,369526784.0,0.7628297209739685,0.7628,5,0.016509875655174255,0.0165,5,0.001364256488159299,0.0014,5,0.7372956871986389,0.7373,5,0.012653088197112083,0.0127,5,0.0007307804771699011,0.0007,5
SBM-0.02-0.02,line,sg_aug,1000000000,0.01,0.1,events.out.tfevents.1736218528.d1002,22.461334466934204,3209,0.046754851937294006,0.0,0.046754851937294006,2340.069091796875,0.6787524819374084,0.6788,4,0.013293375261127949,0.0133,4,0.0011693626875057817,0.0016,3,0.6381856203079224,0.6382,4,0.010189255699515343,0.0102,4,0.0010718114208430052,0.0011,4,1.1232713460922241,369526784.0,0.6891765594482422,0.6892,5,0.013905880972743034,0.0139,5,0.0015591502888128161,0.0016,5,0.6477150917053223,0.6477,5,0.011100782081484795,0.0111,5,0.0008769365958869457,0.0009,5
SBM-0.02-0.02,n2v,sg,10,0.01,1.0,events.out.tfevents.1736218353.d1002,22.3632869720459,79,699576.75,1100956.25,1800533.0,16.906320571899414,0.7682853937149048,0.7683,4,0.015932900831103325,0.0159,4,0.0009744689450599253,0.0014,2,0.7481682896614075,0.7484,2,0.013346157036721706,0.0136,1,0.0010230926563963294,0.0012,1,0.9700520038604736,3121276416.0,0.7682868242263794,0.7683,5,0.016387494280934334,0.0164,5,0.0012668096460402012,0.0013,5,0.746716320514679,0.7467,5,0.013166871853172779,0.0132,5,0.0016564357792958617,0.0017,5
SBM-0.02-0.02,n2v,sg_aug,100,0.01,100.0,events.out.tfevents.1736218390.d1002,21.564377069473267,79,9295.443359375,0.0,9295.443359375,35085.37109375,0.5388857126235962,0.5389,4,0.007230482064187527,0.0086,2,0.00038978757220320404,0.0007,2,0.5308502912521362,0.5309,4,0.007252709940075874,0.0079,0,0.00014615608961321414,0.0004,1,1.3563348054885864,2083241472.0,0.5733551383018494,0.5734,5,0.008694901131093502,0.0087,5,0.00048723447252996266,0.0005,5,0.5636570453643799,0.5637,5,0.007581571117043495,0.0076,5,0.00014615608961321414,0.0001,5
SBM-0.02-0.02,n2v,sg_aug,1000000000,0.01,0.1,events.out.tfevents.1736218425.d1002,21.371162176132202,79,9295.443359375,0.0,9295.443359375,35085.37109375,0.5358033776283264,0.5358,4,0.007230482064187527,0.0086,2,0.00038978757220320404,0.0007,2,0.5349684357643127,0.5350,4,0.007252709940075874,0.0079,0,0.00014615608961321414,0.0004,1,1.3563348054885864,2083241472.0,0.5712769031524658,0.5713,5,0.008694901131093502,0.0087,5,0.00048723447252996266,0.0005,5,0.568000316619873,0.5680,5,0.007581571117043495,0.0076,5,0.00014615608961321414,0.0001,5
SBM-0.03-0.03,line,sg,10,0.01,1.0,events.out.tfevents.1736218662.d1002,23.624134063720703,3209,3.077420234680176,158.19387817382812,161.27130126953125,33.16423797607422,0.7277848124504089,0.7278,4,0.01361028105020523,0.0136,4,0.0014617034466937184,0.0018,3,0.705707311630249,0.7057,4,0.012030184268951416,0.0120,4,0.0017051544273272157,0.0017,4,1.0211395025253296,369526784.0,0.7362763285636902,0.7363,5,0.013237410224974155,0.0132,5,0.0014617034466937184,0.0015,5,0.7133846879005432,0.7134,5,0.011781876906752586,0.0118,5,0.0009256553021259606,0.0009,5
SBM-0.03-0.03,line,sg_aug,100,0.01,1.0,events.out.tfevents.1736218694.d1002,22.488921880722046,3209,0.05768004059791565,0.0,0.05768004059791565,0.0338556133210659,0.7511452436447144,0.7511,4,0.01495327614247799,0.0150,3,0.0007795751444064081,0.0016,2,0.7400469183921814,0.7400,4,0.012945640832185745,0.0129,4,0.0009743740083649755,0.0012,1,0.9999305009841919,369526784.0,0.7613130211830139,0.7613,5,0.016509875655174255,0.0165,5,0.001364256488159299,0.0014,5,0.7416952848434448,0.7417,5,0.012653088197112083,0.0127,5,0.0007307804771699011,0.0007,5
SBM-0.03-0.03,line,sg_aug,1000000000,0.01,0.1,events.out.tfevents.1736218728.d1002,23.095858335494995,3209,0.046754851937294006,0.0,0.046754851937294006,2340.069091796875,0.6730206608772278,0.6730,4,0.013293375261127949,0.0133,4,0.0011693626875057817,0.0016,3,0.6377050280570984,0.6377,4,0.010189255699515343,0.0102,4,0.0010718114208430052,0.0011,4,1.1232713460922241,369526784.0,0.6831806302070618,0.6832,5,0.013905880972743034,0.0139,5,0.0015591502888128161,0.0016,5,0.6466049551963806,0.6466,5,0.011100782081484795,0.0111,5,0.0008769365958869457,0.0009,5
SBM-0.03-0.03,n2v,sg,10,0.01,1.0,events.out.tfevents.1736218563.d1002,22.318242073059082,79,699576.75,1100956.25,1800533.0,16.906320571899414,0.7640952467918396,0.7641,4,0.015932900831103325,0.0159,4,0.0009744689450599253,0.0014,2,0.7452877163887024,0.7462,2,0.013346157036721706,0.0136,1,0.0010230926563963294,0.0012,1,0.9700520038604736,3121276416.0,0.7641760110855103,0.7642,5,0.016387494280934334,0.0164,5,0.0012668096460402012,0.0013,5,0.7451178431510925,0.7451,5,0.013166871853172779,0.0132,5,0.0016564357792958617,0.0017,5
