Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.1-0.002,line,sg,10,0.01,1.0,events.out.tfevents.1736461703.d1007,48.418453216552734,6409,2.48602557182312,28.83767318725586,31.323698043823242,66.45729064941406,0.783332347869873,0.7833,4,0.020600900053977966,0.0206,4,0.001707483665086329,0.0017,4,0.754379391670227,0.7544,4,0.012310569174587727,0.0127,3,0.0004878286854363978,0.0010,2,0.9097386598587036,452511744.0,0.7982648611068726,0.7983,5,0.022169271484017372,0.0222,5,0.0022929066326469183,0.0023,5,0.7544901967048645,0.7545,5,0.011808019131422043,0.0118,5,0.000512220140080899,0.0005,5
SBM-0.1-0.002,line,sg_aug,100,0.01,1.0,events.out.tfevents.1736461763.d1007,45.23612952232361,6409,0.005549202673137188,0.0,0.005549202673137188,0.0023768069222569466,0.7789495587348938,0.7789,4,0.015609228052198887,0.0156,4,0.0006829935009591281,0.0017,1,0.7526362538337708,0.7526,4,0.012631889432668686,0.0133,2,0.0009268745197914541,0.0011,2,0.958441972732544,452511744.0,0.7819510698318481,0.7820,5,0.017527857795357704,0.0175,5,0.0015123427147045732,0.0015,5,0.7495737075805664,0.7496,5,0.012713594362139702,0.0127,5,0.0010732230730354786,0.0011,5
SBM-0.1-0.002,line,sg_aug,1000000000,0.01,0.1,events.out.tfevents.1736461818.d1007,45.673078775405884,6409,0.004532918334007263,0.0,0.004532918334007263,11587.2265625,0.752464771270752,0.7525,4,0.015729106962680817,0.0157,4,0.0012684164103120565,0.0015,3,0.7370043992996216,0.7379,3,0.011922638863325119,0.0119,4,0.001439094659872353,0.0014,4,0.9798016548156738,452511744.0,0.7684868574142456,0.7685,5,0.016558092087507248,0.0166,5,0.0011708459351211786,0.0012,5,0.7412182092666626,0.7412,5,0.012283382005989552,0.0123,5,0.0007805259083397686,0.0008,5
SBM-0.1-0.002,n2v,sg,10,0.01,1.0,events.out.tfevents.1736461547.d1007,39.09684634208679,79,692165.5,1088759.25,1780924.75,17.071197509765625,0.766322135925293,0.7672,3,0.014332828111946583,0.0150,1,0.0005854229675605893,0.0012,1,0.7486175298690796,0.7530,1,0.013016055338084698,0.0136,1,0.0008537002140656114,0.0014,3,1.0062464475631714,3121276416.0,0.7713096737861633,0.7713,5,0.0152971176430583,0.0153,5,0.0018538394942879677,0.0019,5,0.7509773373603821,0.7510,5,0.013010889291763306,0.0130,5,0.0011707888916134834,0.0012,5
SBM-0.1-0.002,n2v,sg_aug,100,0.01,100.0,events.out.tfevents.1736461604.d1007,37.57757925987244,79,7957.71484375,0.0,7957.71484375,35669.78515625,0.5438665151596069,0.5439,4,0.007575672585517168,0.0078,2,0.0006829935009591281,0.0007,4,0.5425256490707397,0.5425,4,0.0076928031630814075,0.0078,3,0.0005853944458067417,0.0007,1,1.11033034324646,2083241472.0,0.5059905052185059,0.5060,5,0.007774720434099436,0.0078,5,9.757049701875076e-05,0.0001,5,0.5030030608177185,0.5030,5,0.007365922909229994,0.0074,5,0.00012195717135909945,0.0001,5
SBM-0.1-0.002,n2v,sg_aug,1000000000,0.01,0.1,events.out.tfevents.1736461651.d1007,38.3652229309082,79,7957.71484375,0.0,7957.71484375,35669.78125,0.5471206307411194,0.5471,4,0.007575672585517168,0.0078,2,0.0006829935009591281,0.0007,4,0.5445964336395264,0.5446,4,0.0076928031630814075,0.0078,3,0.0005853944458067417,0.0007,1,1.11033034324646,2083241472.0,0.5061916708946228,0.5062,5,0.007774720434099436,0.0078,5,9.757049701875076e-05,0.0001,5,0.5037819147109985,0.5038,5,0.007365922909229994,0.0074,5,0.00012195717135909945,0.0001,5
SBM-0.1-0.01,line,sg,10,0.01,1.0,events.out.tfevents.1736462041.d1007,51.16598129272461,6909,5.994222640991211,77.63810729980469,83.63233184814453,49.29960250854492,0.7640384435653687,0.7640,4,0.020641252398490906,0.0206,4,0.0014025879791006446,0.0014,3,0.7179030179977417,0.7185,3,0.011451770551502705,0.0117,3,0.0005655596614815295,0.0009,2,1.078748106956482,465477632.0,0.7892037034034729,0.7892,5,0.02208367921411991,0.0221,5,0.0015383223071694374,0.0015,5,0.7149901986122131,0.7150,5,0.010795582085847855,0.0108,5,0.0005881820688955486,0.0006,5
SBM-0.1-0.01,line,sg_aug,100,0.01,1.0,events.out.tfevents.1736462108.d1007,48.42587423324585,6909,0.02448607236146927,0.0,0.02448607236146927,0.004066991154104471,0.7623499631881714,0.7623,4,0.016316823661327362,0.0163,4,0.0014478327939286828,0.0016,2,0.7199990153312683,0.7200,4,0.011211255565285683,0.0121,2,0.0006786716403439641,0.0013,1,1.107558250427246,465477632.0,0.7698649764060974,0.7699,5,0.015746982768177986,0.0157,5,0.0009501402964815497,0.0010,5,0.7182897329330444,0.7183,5,0.010992806404829025,0.0110,5,0.0004298253625165671,0.0004,5
SBM-0.1-0.01,line,sg_aug,1000000000,0.01,0.1,events.out.tfevents.1736462169.d1007,48.174341917037964,6909,0.010314680635929108,0.0,0.010314680635929108,16649.9609375,0.5788975954055786,0.5789,4,0.008814040571451187,0.0088,4,0.0005881820688955486,0.0010,2,0.561928927898407,0.5619,4,0.0076375119388103485,0.0076,4,0.0010632522171363235,0.0011,4,1.119903564453125,465477632.0,0.5647618174552917,0.5648,5,0.0092289038002491,0.0092,5,0.001493077608756721,0.0015,5,0.544743001461029,0.5447,5,0.007723695132881403,0.0077,5,0.0007917835609987378,0.0008,5
SBM-0.1-0.01,n2v,sg,10,0.01,1.0,events.out.tfevents.1736461879.d1007,40.605448484420776,79,924848.3125,958538.375,1883386.75,45.64221954345703,0.5219681262969971,0.5220,4,0.007495362777262926,0.0077,2,0.00013573432806879282,0.0005,0,0.5149890184402466,0.5150,4,0.007505933754146099,0.0075,2,0.00015835670637898147,0.0004,0,1.2512116432189941,3121276416.0,0.53106689453125,0.5311,5,0.007952169515192509,0.0080,5,0.0005881820688955486,0.0006,5,0.5227636098861694,0.5228,5,0.007520782761275768,0.0075,5,0.0004976924974471331,0.0005,5
