Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,metrics/AUC_ROC,metrics/AUC_ROC epoch,metrics/MRR,metrics/MRR epoch,metrics/Hits_50,metrics/Hits_50 epoch,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization
CiteSeer,line,sg,-1,0.1,1,796,51,0.5306,2,0.018,10,0.0077,10,0,138.1551056,138.1551056,13998060
CiteSeer,line,sg,10,0.1,1,820,51,0.5942,36,0.0349,2,0.0176,10,0,34.5387764,34.5387764,11656726
CiteSeer,line,sg_aug,1000,0.1,0.01,678,51,0.5926,41,0.0394,45,0.0374,2,0,0,0,2274731008
CiteSeer,line,sg_aug,1000000000,0.1,0.01,697,51,0.6133,17,0.0744,46,0.0429,27,0,0,0,16469641
CiteSeer,n2v,sg,-1,0.1,1,157,51,0.721,4,0.1523,16,0.0033,2,68099.32813,2936208,3004307.25,209469504
CiteSeer,n2v,sg,10,0.1,1,96,51,0.7743,24,0.1586,18,0.0242,2,29640.30859,755651.125,785291.4375,369428.4063
CiteSeer,n2v,sg_aug,10,1,0.1,87,51,0.763,3,0.1111,8,0.0473,38,2994.258057,0,2994.258057,48931196
CiteSeer,n2v,sg_aug,1000000000,1,0.1,88,51,0.7378,2,0.0918,2,0.0308,2,35920.32813,0,35920.32813,3443090944
Cora,line,sg,-1,0.1,1,918,51,0.552,17,0.0167,5,0.0028,8,0,69.0775528,69.0775528,14899393
Cora,line,sg,10,0.1,1,948,51,0.581,17,0.0315,4,0.0085,3,0,0,0,7283272.5
Cora,line,sg_aug,1000,0.1,1,771,51,0.5462,17,0.0308,13,0.0199,8,0,0,0,1481170688
Cora,line,sg_aug,1000000000,0.1,1,773,51,0.6372,30,0.0655,14,0.0133,5,0,0,0,32628004
Cora,n2v,sg,-1,0.1,1,135,51,0.8182,4,0.1421,15,0.0038,43,35841.45703,569188.25,605029.6875,40092092
Cora,n2v,sg,10,0.1,1,84,51,0.8244,14,0.147,17,0.0332,17,19548.11328,119533.3359,139081.4531,173640.625
Cora,n2v,sg_aug,10,0.1,0.01,76,51,0.7595,2,0.1071,4,0.0133,2,27.44333649,0,27.44333649,346318.6875
Cora,n2v,sg_aug,1000000000,0.1,0.01,77,51,0.7713,2,0.1013,15,0.0095,2,2.518326283,0,2.518326283,200939680
PubMed,line,sg,-1,0.1,1,277,51,0.5316,18,0.0203,27,0.0139,30,23.18278885,759.8530884,783.0358887,178457200
PubMed,line,sg,10,0.1,1,279,51,0.5942,4,0.0341,7,0.0267,11,34.5387764,172.6938782,207.2326508,269403808
PubMed,line,sg_aug,1000,0.1,0.01,243,51,0.6748,39,0.0486,3,0.037,49,0,0,0,1.07527E+11
PubMed,line,sg_aug,1000000000,0.1,0.01,241,51,0.6553,50,0.0658,30,0.0474,29,0,0,0,534078848
PubMed,n2v,sg,-1,0.01,1,"5,253",51,0.7355,6,0.1089,13,0.0015,14,0,58529.67188,58529.67188,13231379456
PubMed,n2v,sg,10,0.01,1,473,51,0.8014,9,0.2245,12,0.1724,41,4981.43457,28945.30469,33926.73828,11527587
PubMed,n2v,sg_aug,1000,0.1,0.01,377,51,0.7365,2,0.0937,2,0.0432,2,9.54E-07,0,9.54E-07,12035418112
PubMed,n2v,sg_aug,1000000000,0.1,0.01,377,51,0.7407,2,0.0937,2,0.0432,2,9.54E-07,0,9.54E-07,12035418112
ogbl-citation2,line,sg,-1,0.01,1,"3,857",3,0.5227,3,0.0086,3,0.0009,3,1350.392578,39430.77344,40781.16406,2804851456
ogbl-citation2,line,sg,10,0.01,1,"3,855",3,0.5744,3,0.0131,3,0.0008,3,560.9825439,7493.873535,8054.855957,21462763520
ogbl-citation2,line,sg_aug,1000,0.01,0.01,"2,978",3,0.5035,2,0.0077,2,0.0006,1,2788.036865,0,2788.036865,1.75137E+13
ogbl-citation2,line,sg_aug,1000000000,0.01,0.01,"2,989",3,0.6568,3,0.0346,3,0.0037,3,45.4979248,0,45.4979248,1.85862E+11
ogbl-citation2,n2v,sg,-1,0.01,1,1,1,0.5011,1,0.0077,1,0.0006,1,,,,
ogbl-citation2,n2v,sg,-1,0.01,1,1,1,0.5011,1,0.0077,1,0.0006,1,,,,
ogbl-citation2,n2v,sg,10,0.01,1,"2,527",4,0.7896,4,0.0725,4,0.0316,4,125953.3906,626085.875,752039.25,8.48564E+12
ogbl-citation2,n2v,sg_aug,1000000000,0.01,0.001,"1,946",4,0.6749,4,0.0185,4,0.0017,4,875.0783081,0,875.0783081,1.02202E+14
ogbl-citation2,n2v,sg_aug,2,0.01,0.001,"2,095",4,0.504,4,0.0077,1,0.0007,3,195966.0469,0,195966.0469,1168738176
ogbl-collab,line,sg,-1,0.1,1,"2,495",11,0.5666,11,0.0493,11,0.055,8,207.232666,706.0247803,913.2574463,2001007744
ogbl-collab,line,sg,10,0.1,1,"2,501",11,0.6356,11,0.0932,8,0.1016,7,0.708615363,241.7714386,242.4800568,1854012544
ogbl-collab,line,sg_aug,1000,0.1,0.01,"1,955",11,0.5692,10,0.038,11,0.03,2,0,0,0,1.13654E+13
ogbl-collab,line,sg_aug,1000000000,0.1,0.01,"1,952",11,0.6909,11,0.1746,10,0.1755,10,34.5387764,0,34.5387764,23071541248
ogbl-collab,n2v,sg,-1,0.1,1,1,1,0.5001,1,0.0073,1,0.0002,1,,,,
ogbl-collab,n2v,sg,-1,0.1,1,1,1,0.5001,1,0.0073,1,0.0002,1,,,,
ogbl-collab,n2v,sg,10,0.1,1,548,11,0.9152,2,0.3629,2,0.2192,2,211790.7969,1202749,1414539.75,1205582336
ogbl-collab,n2v,sg_aug,10,1,0.01,510,11,0.8529,11,0.2296,9,0.12,7,516779.1875,0,516779.1875,4.82517E+12
ogbl-collab,n2v,sg_aug,1000000000,1,0.01,508,11,0.7841,2,0.0392,2,0.0018,2,5613.176758,0,5613.176758,1.69998E+14
ogbl-ppa,line,sg,-1,0.01,1,"3,838",4,0.8036,4,0.0709,4,0.0094,4,186.5247498,3539.43457,3725.959229,9.9916E+11
ogbl-ppa,line,sg,10,0.01,1,"3,837",4,0.8754,4,0.1234,3,0.0167,4,0,640.1478271,640.1478271,5.27842E+11
ogbl-ppa,line,sg_aug,1000,0.01,0.01,"3,008",4,0.5013,4,0.0076,2,0,2,240.3383026,0,240.3383026,6.78506E+11
ogbl-ppa,line,sg_aug,1000000000,0.01,0.01,"3,019",4,0.9399,4,0.2415,4,0.0155,3,0,0,0,1.42349E+12
ogbl-ppa,n2v,sg,-1,0.01,1,68,1,0.5002,1,0.0075,1,0,1,,,,
ogbl-ppa,n2v,sg,-1,0.01,1,65,1,0.5002,1,0.0075,1,0,1,,,,
