Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC epoch,metrics/valid/MRR,metrics/valid/MRR epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC epoch,metrics/test/MRR,metrics/test/MRR epoch,metrics/test/Hits_50,metrics/test/Hits_50 epoch
CiteSeer,line,sg_aug,1000,0.1,0.01,713,50,-0.0,0.0,0.0,2274728448.0,17068544.0,0.5380,8,0.0326,31,0.0198,9,0.5235,35,0.0431,41,0.0440,49
CiteSeer,n2v,sg_aug,10,0.1,0.1,89,50,542.8396606445312,0.0,542.8396606445312,749144.4375,2085803008.0,0.7590,10,0.0914,20,0.0220,17,0.7410,7,0.1069,2,0.0297,42
Cora,line,sg_aug,1000,0.1,1.0,814,50,-0.0,0.0,0.0,1481171840.0,15479808.0,0.5612,44,0.0330,18,0.0342,14,0.5206,36,0.0282,34,0.0190,5
Cora,n2v,sg_aug,10,0.1,0.1,78,50,1178.593994140625,0.0,1178.593994140625,6341768.5,2084531712.0,0.8091,42,0.1009,1,0.0190,1,0.8131,1,0.0995,1,0.0142,1
PubMed,line,sg_aug,1000,0.1,0.01,268,50,-0.0,0.0,0.0,107526987776.0,59174912.0,0.5972,2,0.0519,2,0.0393,38,0.5909,28,0.0463,2,0.0285,2
PubMed,n2v,sg_aug,1000,0.1,0.1,405,50,9.536745437799254e-07,0.0,9.536745437799254e-07,16282609664.0,2119502336.0,0.7386,1,0.0940,1,0.0454,1,0.7369,1,0.0931,1,0.0426,1
ogbl-citation2,line,sg_aug,1000,0.01,1e-07,3034,2,114.05513763427734,0.0,114.05513763427734,15168933199872.0,8017084928.0,0.6310,2,0.0261,2,0.0028,2,0.6329,2,0.0262,2,0.0024,2
ogbl-citation2,n2v,sg_aug,1000,0.01,1e-06,2041,3,10985.3349609375,0.0,10985.3349609375,3599239741440.0,15001152512.0,0.8167,3,0.0384,3,0.0072,3,0.8171,3,0.0378,3,0.0090,3
ogbl-collab,line,sg_aug,1000,0.1,0.01,2045,10,-0.0,0.0,0.0,11365376851968.0,634818048.0,0.5525,10,0.0372,6,0.0307,1,0.5520,1,0.0380,5,0.0299,1
ogbl-collab,n2v,sg_aug,100,0.1,0.01,540,10,155.59263610839844,0.0,155.59263610839844,1878220603392.0,8997793792.0,0.8559,3,0.1926,8,0.0650,2,0.8375,3,0.1569,7,0.0470,2
ogbl-ppa,line,sg_aug,1000,0.01,0.0001,954,,190.497802734375,0.0,190.497802734375,682035052544.0,1973797888.0,0.5335,1,,,,,,,,,,
ogbl-ppa,line,sg_aug,1000,0.01,0.0001,3093,,41.577247619628906,0.0,41.577247619628906,679911358464.0,1973797888.0,0.5887,3,,,0.0000,3,0.5890,3,,,0.0000,3
ogbl-ppa,line,sg_aug,1000,0.01,0.0001,3039,,41.577247619628906,0.0,41.577247619628906,679911358464.0,1973797888.0,0.5887,3,,,0.0000,3,0.5890,3,,,0.0000,3
ogbl-ppa,line,sg_aug,1000,0.01,0.0001,3083,,41.577247619628906,0.0,41.577247619628906,679911358464.0,1973797888.0,0.5887,3,,,0.0000,3,0.5890,3,,,0.0000,3
ogbl-ppa,n2v,sg_aug,5,0.01,0.001,204,,2018237.25,0.0,2018237.25,10164996.0,10162352128.0,0.7800,1,,,,,,,,,,
ogbl-ppa,n2v,sg_aug,5,0.01,0.001,213,,2018237.25,0.0,2018237.25,10164996.0,10162352128.0,0.7800,1,,,,,,,,,,
ogbl-ppa,n2v,sg_aug,5,0.01,0.001,1567,,1380081.875,0.0,1380081.875,47599488.0,10162352128.0,0.9419,5,,,0.0132,5,0.9416,5,,,0.0130,5
ogbl-ppa,n2v,sg_aug,5,0.01,0.001,1345,,1380081.875,0.0,1380081.875,47599488.0,10162352128.0,0.9419,5,,,0.0132,5,0.9416,5,,,0.0130,5
ogbl-ppa,n2v,sg_aug,5,0.01,0.001,1392,,1380081.875,0.0,1380081.875,47599488.0,10162352128.0,0.9419,5,,,0.0132,5,0.9416,5,,,0.0130,5
