Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,metrics/MRR,metrics/Hits_50,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization
CiteSeer,line,sg,10,0.01,1.0,31.561732292175293,5,0.01074026245623827,0.002197802299633622,7.152560215217818e-07,27.017236709594727,27.017236709594727,246130.71875
CiteSeer,line,sg,10,0.1,1.0,31.629693031311035,5,0.03287435322999954,0.010989011265337467,-0.0,34.53877639770508,34.53877639770508,2947627.5
CiteSeer,line,sg,10,1.0,1.0,31.623968601226807,5,0.015588074922561646,0.002197802299633622,34.53877639770508,34.53877639770508,69.07755279541016,179484864.0
CiteSeer,line,sg_aug,10,0.01,0.01,25.901384115219116,5,0.007954813539981842,0.002197802299633622,0.0013238565297797322,0.0,0.0013238565297797322,20840.9296875
CiteSeer,line,sg_aug,10,0.01,0.1,25.91469383239746,5,0.007758683990687132,0.002197802299633622,3.5419063568115234,0.0,3.5419063568115234,20657.09765625
CiteSeer,line,sg_aug,10,0.01,1.0,26.109718799591064,5,0.007736819330602884,0.002197802299633622,14.422738075256348,0.0,14.422738075256348,19123.650390625
CiteSeer,line,sg_aug,10,0.1,0.01,26.0252366065979,5,0.00790419802069664,0.002197802299633622,0.004783116281032562,0.0,0.004783116281032562,930701.6875
CiteSeer,line,sg_aug,10,0.1,0.1,26.186527013778687,5,0.007782036904245615,0.002197802299633622,3.7156190872192383,0.0,3.7156190872192383,831745.4375
CiteSeer,line,sg_aug,10,0.1,1.0,26.145042657852173,5,0.0078043206594884396,0.002197802299633622,14.018131256103516,0.0,14.018131256103516,2413627.75
CiteSeer,line,sg_aug,10,1.0,0.01,26.226942777633667,5,0.00902865082025528,0.002197802299633622,2.3842136215534993e-05,0.0,2.3842136215534993e-05,40075.25390625
CiteSeer,line,sg_aug,10,1.0,0.1,26.141485929489136,5,0.010176490992307663,0.002197802299633622,1.1920930376163597e-07,0.0,1.1920930376163597e-07,279108448.0
CiteSeer,line,sg_aug,10,1.0,1.0,26.152920961380005,5,0.010515326634049416,0.002197802299633622,-0.0,0.0,0.0,353441248.0
CiteSeer,line,sg_aug,100,0.01,0.01,26.21045470237732,5,0.007817799225449562,0.002197802299633622,0.01723336987197399,0.0,0.01723336987197399,3671409.75
CiteSeer,line,sg_aug,100,0.01,0.1,25.924363613128662,5,0.007738850545138121,0.002197802299633622,9.576783180236816,0.0,9.576783180236816,3671275.0
CiteSeer,line,sg_aug,100,0.01,1.0,25.967151165008545,5,0.007728236727416515,0.002197802299633622,14.96549129486084,0.0,14.96549129486084,3671057.5
CiteSeer,line,sg_aug,100,0.1,0.01,26.06811499595642,5,0.012853411957621574,0.002197802299633622,-0.0,0.0,0.0,367023872.0
CiteSeer,line,sg_aug,100,0.1,0.1,26.02717113494873,5,0.011363977566361427,0.002197802299633622,-0.0,0.0,0.0,367039488.0
CiteSeer,line,sg_aug,100,0.1,1.0,25.972647666931152,5,0.011155612766742706,0.004395604599267244,1.1920930376163597e-07,0.0,1.1920930376163597e-07,367059040.0
CiteSeer,line,sg_aug,100,1.0,0.01,25.872472763061523,5,0.012086099945008755,0.00659340713173151,-0.0,0.0,0.0,36707094528.0
CiteSeer,line,sg_aug,100,1.0,0.1,26.050270557403564,5,0.01332825142890215,0.00659340713173151,-0.0,0.0,0.0,36708642816.0
CiteSeer,line,sg_aug,100,1.0,1.0,25.994163990020752,5,0.01336364634335041,0.00659340713173151,-0.0,0.0,0.0,36708859904.0
CiteSeer,line,sg_aug,1000,0.01,0.01,26.315518140792847,5,0.00860338844358921,0.002197802299633622,-0.0,0.0,0.0,21637006.0
CiteSeer,line,sg_aug,1000,0.01,0.1,26.267794132232666,5,0.007981808856129646,0.002197802299633622,0.17734169960021973,0.0,0.17734169960021973,21601898.0
CiteSeer,line,sg_aug,1000,0.01,1.0,26.211118698120117,5,0.008132347837090492,0.002197802299633622,11.805075645446777,0.0,11.805075645446777,21599960.0
CiteSeer,line,sg_aug,1000,0.1,0.01,26.242973566055298,5,0.049504946917295456,0.032967034727334976,-0.0,0.0,0.0,2160252160.0
CiteSeer,line,sg_aug,1000,0.1,0.1,26.185950756072998,5,0.04634971544146538,0.03956044092774391,-0.0,0.0,0.0,2157993984.0
CiteSeer,line,sg_aug,1000,0.1,1.0,26.202332019805908,5,0.04487880691885948,0.04175824299454689,-0.0,0.0,0.0,2157559040.0
CiteSeer,line,sg_aug,1000,1.0,0.01,26.277077198028564,5,0.014081724919378757,0.00659340713173151,-0.0,0.0,0.0,215764893696.0
CiteSeer,line,sg_aug,1000,1.0,0.1,26.197349309921265,5,0.015120306052267551,0.00659340713173151,-0.0,0.0,0.0,215697473536.0
CiteSeer,line,sg_aug,1000,1.0,1.0,26.25600290298462,5,0.015193051658570766,0.00659340713173151,-0.0,0.0,0.0,215689445376.0
CiteSeer,line,sg_aug,1000000000,0.01,0.01,26.6792209148407,5,0.00888238288462162,0.002197802299633622,4.887592695013154e-06,0.0,4.887592695013154e-06,914448.75
CiteSeer,line,sg_aug,1000000000,0.01,0.1,26.764485359191895,5,0.00888238288462162,0.002197802299633622,4.887592695013154e-06,0.0,4.887592695013154e-06,914448.75
CiteSeer,line,sg_aug,1000000000,0.01,1.0,26.736443042755127,5,0.00888238288462162,0.002197802299633622,4.887592695013154e-06,0.0,4.887592695013154e-06,914448.75
CiteSeer,line,sg_aug,1000000000,0.1,0.01,26.76037573814392,5,0.06553997844457626,0.035164836794137955,-0.0,0.0,0.0,13878119.0
CiteSeer,line,sg_aug,1000000000,0.1,0.1,26.970687866210938,5,0.06553997844457626,0.035164836794137955,-0.0,0.0,0.0,13878119.0
CiteSeer,line,sg_aug,1000000000,0.1,1.0,26.741908311843872,5,0.06553997844457626,0.035164836794137955,-0.0,0.0,0.0,13878119.0
CiteSeer,line,sg_aug,1000000000,1.0,0.01,26.704802751541138,5,0.02152811549603939,0.015384616330265999,69.07755279541016,0.0,69.07755279541016,240122480.0
CiteSeer,line,sg_aug,1000000000,1.0,0.1,26.881314754486084,5,0.02152811549603939,0.015384616330265999,69.07755279541016,0.0,69.07755279541016,240122480.0
CiteSeer,line,sg_aug,1000000000,1.0,1.0,26.74529528617859,5,0.02152811549603939,0.015384616330265999,69.07755279541016,0.0,69.07755279541016,240122480.0
CiteSeer,n2v,sg,10,0.01,1.0,8.219808578491211,5,0.010733424685895443,0.002197802299633622,106790.0546875,2698714.0,2805504.0,34574.6953125
CiteSeer,n2v,sg,10,0.1,1.0,7.884061574935913,5,0.136896550655365,0.021978022530674934,49833.08203125,801395.875,851228.9375,166326.859375
CiteSeer,n2v,sg,10,1.0,1.0,8.10759162902832,5,0.07046334445476532,0.01318681426346302,1071129.5,9759504.0,10830634.0,1345237248.0
CiteSeer,n2v,sg_aug,10,0.01,0.01,7.278890609741211,5,0.014745207503437996,0.002197802299633622,76493.078125,0.0,76493.078125,687663.375
CiteSeer,n2v,sg_aug,10,0.01,0.1,7.258421182632446,5,0.014333182945847511,0.002197802299633622,86130.515625,0.0,86130.515625,139199.46875
CiteSeer,n2v,sg_aug,10,0.01,1.0,7.35383677482605,5,0.012693000957369804,0.002197802299633622,129832.484375,0.0,129832.484375,1001.5406494140625
