Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC epoch,metrics/valid/MRR,metrics/valid/MRR epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC epoch,metrics/test/MRR,metrics/test/MRR epoch,metrics/test/Hits_50,metrics/test/Hits_50 epoch
CiteSeer,line,sg,10,0.1,1.0,78,4,-0.0,-0.0,-0.0,4330343.5,17072128.0,0.5827,4,0.0286,2,0.0066,3,0.5872,4,0.0367,1,0.0132,2
CiteSeer,line,sg_aug,10,0.1,0.01,65,4,0.008989805355668068,0.0,0.008989805355668068,206668.96875,17068544.0,0.5342,3,0.0078,2,0.0022,1,0.5100,2,0.0083,3,0.0000,1
CiteSeer,line,sg_aug,10,0.1,0.1,65,4,3.3662164211273193,0.0,3.3662164211273193,1135064.75,17068544.0,0.5400,3,0.0078,2,0.0022,1,0.5079,3,0.0084,3,0.0000,1
CiteSeer,line,sg_aug,10,0.1,1.0,64,4,13.642049789428711,0.0,13.642049789428711,1091057.0,17068544.0,0.5105,3,0.0077,2,0.0022,1,0.4993,1,0.0080,3,0.0000,1
CiteSeer,line,sg_aug,100,0.1,0.01,63,4,-0.0,0.0,0.0,342028896.0,17068544.0,0.5442,4,0.0115,2,0.0022,2,0.5163,2,0.0127,2,0.0055,2
CiteSeer,line,sg_aug,100,0.1,0.1,64,4,2.145769485650817e-06,0.0,2.145769485650817e-06,342025504.0,17068544.0,0.5376,1,0.0096,2,0.0022,1,0.5182,2,0.0132,2,0.0077,1
CiteSeer,line,sg_aug,100,0.1,1.0,64,4,3.695556370075792e-05,0.0,3.695556370075792e-05,342026304.0,17068544.0,0.5195,3,0.0101,2,0.0022,1,0.5001,3,0.0133,2,0.0077,1
CiteSeer,line,sg_aug,1000,0.1,0.01,63,4,-0.0,0.0,0.0,2274712320.0,17068544.0,0.5832,3,0.0270,1,0.0132,2,0.5807,2,0.0381,2,0.0352,3
CiteSeer,line,sg_aug,1000,0.1,0.1,64,4,-0.0,0.0,0.0,2274702336.0,17068544.0,0.5688,4,0.0288,1,0.0176,2,0.5488,3,0.0419,2,0.0429,2
CiteSeer,line,sg_aug,1000,0.1,1.0,64,4,-0.0,0.0,0.0,2274700800.0,17068544.0,0.5721,4,0.0276,1,0.0242,4,0.5648,3,0.0400,1,0.0462,2
CiteSeer,line,sg_aug,1000000000,0.1,0.01,65,4,-0.0,0.0,0.0,15488014.0,17068544.0,0.6242,4,0.0598,3,0.0220,3,0.6006,2,0.0712,3,0.0297,3
CiteSeer,line,sg_aug,1000000000,0.1,0.1,65,4,-0.0,0.0,0.0,15488014.0,17068544.0,0.6258,4,0.0598,3,0.0220,3,0.6165,3,0.0712,3,0.0297,3
CiteSeer,line,sg_aug,1000000000,0.1,1.0,65,4,-0.0,0.0,0.0,15488014.0,17068544.0,0.6300,4,0.0598,3,0.0220,3,0.6093,2,0.0712,3,0.0297,3
CiteSeer,n2v,sg,10,0.1,1.0,7,4,37561.8046875,804887.5,842449.3125,202588.390625,3122808832.0,0.7560,3,0.1393,4,0.0176,1,0.7566,3,0.1494,4,0.0220,1
CiteSeer,n2v,sg_aug,10,0.1,0.01,7,4,784.27099609375,0.0,784.27099609375,15460.3935546875,2085803008.0,0.7766,2,0.0958,2,0.0022,3,0.7522,1,0.1169,3,0.0253,2
CiteSeer,n2v,sg_aug,10,0.1,0.1,6,4,2391.510498046875,0.0,2391.510498046875,306190.65625,2085803008.0,0.7774,2,0.0998,2,0.0176,3,0.7672,2,0.1211,4,0.0198,2
CiteSeer,n2v,sg_aug,10,0.1,1.0,6,4,19312.220703125,0.0,19312.220703125,90518.6796875,2085803008.0,0.7591,2,0.0897,3,0.0198,3,0.7457,2,0.1068,4,0.0209,4
CiteSeer,n2v,sg_aug,100,0.1,0.01,6,4,614.7124633789062,0.0,614.7124633789062,43905112.0,2085803008.0,0.7515,2,0.0924,4,0.0000,1,0.7435,1,0.1131,3,0.0297,2
CiteSeer,n2v,sg_aug,100,0.1,0.1,7,4,614.7124633789062,0.0,614.7124633789062,43905116.0,2085803008.0,0.7498,2,0.0924,4,0.0000,1,0.7441,1,0.1131,3,0.0297,2
CiteSeer,n2v,sg_aug,100,0.1,1.0,6,4,614.7124633789062,0.0,614.7124633789062,43905112.0,2085803008.0,0.7487,2,0.0924,4,0.0000,1,0.7404,1,0.1131,3,0.0297,2
CiteSeer,n2v,sg_aug,1000,0.1,0.01,7,4,614.7124633789062,0.0,614.7124633789062,43905112.0,2085803008.0,0.7322,2,0.0924,4,0.0000,1,0.7434,1,0.1131,3,0.0297,2
