Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
ego-facebook,n2v,sg,-1,0.1,1.0,20,,408345.5625,528211.125,936556.6875,6535.111328125,11364859904.0,0.8645325303077698,0.8645,25,0.013729620724916458,0.0154,14,0.003508772002533078,0.0035,9,0.841269314289093,0.8413,25,0.017337707802653313,0.0183,16,0.0,0.0018,24
ego-facebook,n2v,sg,10,0.1,1.0,0,,1806211.75,2944357.0,4750569.0,31358.802734375,3116682752.0,0.5978233218193054,0.5978,1,0.006585351191461086,0.0066,1,0.0,0.0000,1,0.5786802768707275,0.5787,1,0.005274607799947262,0.0053,1,0.0,0.0000,1
ego-facebook,n2v,sg,10,0.1,1.0,0,,1806211.75,2944357.0,4750569.0,31358.802734375,3116682752.0,,,,,,,,,,,,,,,,,,
ego-facebook,n2v,sg,10,0.1,1.0,16,,335372.78125,541289.625,876662.375,876.7274169921875,3116682752.0,0.8684402704238892,0.8684,25,0.018999522551894188,0.0226,16,0.0,0.0000,1,0.872268557548523,0.8730,21,0.020268872380256653,0.0213,16,0.0,0.0000,1
ego-facebook,n2v,sg,10,0.1,1.0,16,,335372.78125,541289.625,876662.375,876.7274169921875,3116682752.0,0.8643372058868408,0.8643,25,0.018999522551894188,0.0226,16,0.0,0.0000,1,0.8705817461013794,0.8709,21,0.020268872380256653,0.0213,16,0.0,0.0000,1
ego-facebook,n2v,sg_aug,10,0.1,0.1,16,,-0.0,0.0,0.0,10929220.0,2079676928.0,0.6393532752990723,0.7436,3,0.00947399903088808,0.0105,8,0.0,0.0000,1,0.6015524864196777,0.7125,3,0.007892468944191933,0.0081,17,0.0,0.0000,1
ego-facebook,n2v,sg_aug,1000000000,0.1,0.1,16,,-0.0,0.0,0.0,10929220.0,2079676928.0,0.6287159323692322,0.7327,3,0.00947399903088808,0.0105,8,0.0,0.0000,1,0.5799551606178284,0.7189,3,0.007892468944191933,0.0081,17,0.0,0.0000,1
soc-ca-astroph,n2v,sg,-1,0.1,1.0,2763,,19562.173828125,120478.0859375,140040.265625,23443505152.0,11638169600.0,0.2458057850599289,0.5496,1,0.12401369959115982,0.1978,18,0.0,0.0021,10,0.24616315960884094,0.5425,1,0.12387147545814514,0.2007,18,2.5242645278922282e-05,0.0018,8
soc-ca-astroph,n2v,sg,10,0.1,1.0,58,,9824.7275390625,955467.5,965292.25,2758453760.0,3389993472.0,,,,,,,,,,,,,,,,,,
soc-ca-astroph,n2v,sg,10,0.1,1.0,58,,15057.13671875,1128899.75,1143956.875,2781811200.0,3389993472.0,,,,,,,,,,,,,,,,,,
soc-ca-astroph,n2v,sg,10,0.1,1.0,1613,,-0.0,3219324.75,3219324.75,2006561456128.0,3389993472.0,0.9791133403778076,0.9791,25,0.08190014213323593,0.0819,25,0.13389205932617188,0.1389,24,0.9801732897758484,0.9802,25,0.08381912857294083,0.0838,25,0.1308831125497818,0.1309,25
soc-ca-astroph,n2v,sg,10,0.1,1.0,1670,,-0.0,3222862.5,3222862.5,1741757218816.0,3389993472.0,0.9786550998687744,0.9787,25,0.09352530539035797,0.0935,25,0.16822335124015808,0.1682,25,0.9784709811210632,0.9785,25,0.09485699981451035,0.0949,25,0.16499854624271393,0.1650,25
soc-ca-astroph,n2v,sg_aug,10,0.1,0.1,1535,,763.5126953125,0.0,763.5126953125,4752773120.0,2352987648.0,0.9359407424926758,0.9390,21,0.08613863587379456,0.0899,16,0.004240924958139658,0.0059,24,0.9366928935050964,0.9394,21,0.0864475667476654,0.0906,13,0.0032815439626574516,0.0058,23
soc-ca-astroph,n2v,sg_aug,1000000000,0.1,0.1,1477,,-0.0,0.0,0.0,21964912640.0,2352987648.0,0.9798039793968201,0.9838,1,0.030054613947868347,0.0591,1,0.009945978410542011,0.0262,1,0.9792847037315369,0.9833,1,0.029700547456741333,0.0595,1,0.009832010604441166,0.0228,1
