Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,,,,,,,
SBM-0.2-0.004,n2v,sg,-1,0.1,1,165,25,0.7665416,0.7682,24,,,,,,,
SBM-0.2-0.004,n2v,sg,10,0.1,1,110,,0.769583762,0.77,14,,,,,,,
SBM-0.2-0.004,n2v,sg_aug,-1,0.1,0.1,146,25,0.770351231,0.7709,19,,,,,,,
SBM-0.2-0.004,n2v,sg_aug,10,0.1,0.1,109,,0.76506573,0.7667,20,,,,,,,
SBM-0.2-0.004,n2v,sg_aug,1000000,0.1,0.1,108,,0.729212642,0.7345,3,,,,,,,
SBM-0.2-0.008,n2v,sg,-1,0.1,1,165,25,0.767354667,0.7686,23,,,,,,,
SBM-0.2-0.008,n2v,sg,10,0.1,1,111,,0.766816795,0.7694,20,,,,,,,
SBM-0.2-0.008,n2v,sg_aug,-1,0.1,0.1,145,25,0.768055737,0.769,24,,,,,,,
SBM-0.2-0.008,n2v,sg_aug,10,0.1,0.1,108,,0.769328594,0.7702,19,,,,,,,
SBM-0.2-0.008,n2v,sg_aug,1000000,0.1,0.1,109,,0.731400609,0.7368,3,,,,,,,
SBM-0.2-0.012,n2v,sg,-1,0.1,1,166,25,0.765272737,0.7698,13,,,,,,,
SBM-0.2-0.012,n2v,sg,10,0.1,1,111,,0.766982675,0.7695,16,,,,,,,
SBM-0.2-0.012,n2v,sg_aug,-1,0.1,0.1,147,25,0.766664147,0.7667,25,,,,,,,
SBM-0.2-0.012,n2v,sg_aug,10,0.1,0.1,109,,0.766728699,0.7683,20,,,,,,,
SBM-0.2-0.012,n2v,sg_aug,1000000,0.1,0.1,109,,0.731506109,0.7368,3,,,,,,,
SBM-0.2-0.016,n2v,sg,-1,0.1,1,165,25,0.768704057,0.7723,24,,,,,,,
SBM-0.2-0.016,n2v,sg,10,0.1,1,112,,0.765426457,0.7683,19,,,,,,,
SBM-0.2-0.016,n2v,sg_aug,-1,0.1,0.1,146,25,0.765188277,0.7652,19,,,,,,,
