Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.2-0.004,line,sg,-1,0.1,1.0,103,,379.9265441894531,1141.6292724609375,1521.5557861328125,32779064.0,14132736.0,0.7640441656112671,0.7647,8,0.01016908884048462,0.0102,10,0.0,0.0001,7,0.7648367881774902,0.7649,9,0.010130573064088821,0.0101,10,2.4517616111552343e-05,0.0000,7
SBM-0.2-0.004,line,sg,10,0.1,1.0,103,,69.07755279541016,1174.318359375,1243.3958740234375,236875824.0,13862400.0,0.7639209032058716,0.7639,10,0.01019254606217146,0.0102,10,0.0,0.0001,4,0.7608596682548523,0.7609,10,0.010113521479070187,0.0101,9,0.0,0.0000,7
SBM-0.2-0.004,line,sg_aug,10,0.1,0.1,92,,1277.934814453125,0.0,1277.934814453125,9405313.0,13728256.0,0.4994005858898163,0.5000,3,0.007091346196830273,0.0073,8,0.0,0.0002,4,0.4960680603981018,0.4963,8,0.007066131569445133,0.0071,3,4.9035232223104686e-05,0.0001,9
SBM-0.2-0.004,line,sg_aug,1000000000,0.1,0.1,96,,69.07755279541016,0.0,69.07755279541016,4849487872.0,13728256.0,0.6954226493835449,0.6954,10,0.008839230984449387,0.0088,10,0.0,0.0000,7,0.6881065964698792,0.6881,10,0.008714860305190086,0.0088,7,0.0,0.0000,9
SBM-0.2-0.008,line,sg,-1,0.1,1.0,104,,379.9265441894531,1141.6292724609375,1521.5557861328125,32779064.0,14132736.0,0.7703434824943542,0.7703,10,0.01016908884048462,0.0102,10,0.0,0.0001,7,0.7621552348136902,0.7622,10,0.010130573064088821,0.0101,10,2.4517616111552343e-05,0.0000,7
SBM-0.2-0.008,line,sg,10,0.1,1.0,103,,69.07755279541016,1174.318359375,1243.3958740234375,236875824.0,13862400.0,0.7623626589775085,0.7624,10,0.01019254606217146,0.0102,10,0.0,0.0001,4,0.7639234066009521,0.7639,10,0.010113521479070187,0.0101,9,0.0,0.0000,7
SBM-0.2-0.008,line,sg_aug,10,0.1,0.1,93,,1277.934814453125,0.0,1277.934814453125,9405313.0,13728256.0,0.4995812475681305,0.4997,8,0.007091346196830273,0.0073,8,0.0,0.0002,4,0.4990611970424652,0.4992,2,0.007066131569445133,0.0071,3,4.9035232223104686e-05,0.0001,9
SBM-0.2-0.008,line,sg_aug,1000000000,0.1,0.1,96,,69.07755279541016,0.0,69.07755279541016,4849487872.0,13728256.0,0.6932054162025452,0.6932,9,0.008839230984449387,0.0088,10,0.0,0.0000,7,0.6898323893547058,0.6898,10,0.008714860305190086,0.0088,7,0.0,0.0000,9
SBM-0.2-0.012,line,sg,-1,0.1,1.0,104,,379.9265441894531,1141.6292724609375,1521.5557861328125,32779064.0,14132736.0,0.7655813694000244,0.7656,10,0.01016908884048462,0.0102,10,0.0,0.0001,7,0.7641387581825256,0.7641,10,0.010130573064088821,0.0101,10,2.4517616111552343e-05,0.0000,7
SBM-0.2-0.012,line,sg,10,0.1,1.0,100,,69.07755279541016,1174.318359375,1243.3958740234375,236875824.0,13862400.0,0.7636511921882629,0.7637,10,0.01019254606217146,0.0102,10,0.0,0.0001,4,0.7628859281539917,0.7629,10,0.010113521479070187,0.0101,9,0.0,0.0000,7
SBM-0.2-0.012,line,sg_aug,10,0.1,0.1,97,,1277.934814453125,0.0,1277.934814453125,9405313.0,13728256.0,0.5022518634796143,0.5028,7,0.007091346196830273,0.0073,8,0.0,0.0002,4,0.49911409616470337,0.4992,9,0.007066131569445133,0.0071,3,4.9035232223104686e-05,0.0001,9
SBM-0.2-0.012,line,sg_aug,1000000000,0.1,0.1,92,,69.07755279541016,0.0,69.07755279541016,4849487872.0,13728256.0,0.6894209980964661,0.6895,9,0.008839230984449387,0.0088,10,0.0,0.0000,7,0.6881357431411743,0.6881,10,0.008714860305190086,0.0088,7,0.0,0.0000,9
SBM-0.2-0.016,line,sg,-1,0.1,1.0,105,,379.9265441894531,1141.6292724609375,1521.5557861328125,32779064.0,14132736.0,0.7619689106941223,0.7620,10,0.01016908884048462,0.0102,10,0.0,0.0001,7,0.7628384828567505,0.7628,10,0.010130573064088821,0.0101,10,2.4517616111552343e-05,0.0000,7
SBM-0.2-0.016,line,sg,10,0.1,1.0,103,,69.07755279541016,1174.318359375,1243.3958740234375,236875824.0,13862400.0,0.762829601764679,0.7628,10,0.01019254606217146,0.0102,10,0.0,0.0001,4,0.7641056776046753,0.7641,10,0.010113521479070187,0.0101,9,0.0,0.0000,7
