Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.2-0.004,line,sg,10,0.1,1.0,37,,-0.0,1139.779541015625,1139.779541015625,12515670.0,14065152.0,0.7679396867752075,0.7687,2,0.011335290037095547,0.0113,5,0.00024518216378055513,0.0002,5,0.7653388977050781,0.7667,2,0.011162888258695602,0.0112,5,9.807046444620937e-05,0.0002,2
SBM-0.2-0.004,line,sg_aug,10,0.1,0.1,34,,0.21066361665725708,0.0,0.21066361665725708,144363.3125,13797888.0,0.721280038356781,0.7213,5,0.011407614685595036,0.0116,4,0.0,0.0003,4,0.7226136922836304,0.7226,5,0.01174295973032713,0.0117,5,0.0,0.0000,2
SBM-0.2-0.004,line,sg_aug,1000000,0.1,0.1,35,,-0.0,0.0,0.0,599893632.0,13797888.0,0.506975531578064,0.5076,3,0.006711228750646114,0.0067,5,0.0003922914620488882,0.0006,2,0.5039920210838318,0.5040,5,0.006687785964459181,0.0067,3,0.00024517616839148104,0.0004,3
SBM-0.2-0.004,line,sg_aug,1000000000,0.1,0.1,38,,-0.0,0.0,0.0,3639949312.0,13797888.0,0.6845890283584595,0.6846,5,0.008694826625287533,0.0087,5,0.0,0.0000,1,0.6793942451477051,0.6794,5,0.0088357450440526,0.0088,5,0.0,0.0000,1
SBM-0.2-0.02,line,sg,10,0.1,1.0,39,,-0.0,1139.779541015625,1139.779541015625,12515670.0,14065152.0,0.7656025290489197,0.7688,3,0.011335290037095547,0.0113,5,0.00024518216378055513,0.0002,5,0.7632293701171875,0.7632,5,0.011162888258695602,0.0112,5,9.807046444620937e-05,0.0002,2
SBM-0.2-0.02,line,sg_aug,10,0.1,0.1,39,,0.21066361665725708,0.0,0.21066361665725708,144363.3125,13797888.0,0.721128523349762,0.7211,5,0.011407614685595036,0.0116,4,0.0,0.0003,4,0.719226598739624,0.7192,5,0.01174295973032713,0.0117,5,0.0,0.0000,2
SBM-0.2-0.02,line,sg_aug,1000000,0.1,0.1,34,,-0.0,0.0,0.0,599893632.0,13797888.0,0.5115780830383301,0.5118,2,0.006711228750646114,0.0067,5,0.0003922914620488882,0.0006,2,0.5026865005493164,0.5028,2,0.006687785964459181,0.0067,3,0.00024517616839148104,0.0004,3
SBM-0.2-0.02,line,sg_aug,1000000000,0.1,0.1,33,,-0.0,0.0,0.0,3639949312.0,13797888.0,0.6791325211524963,0.6791,5,0.008694826625287533,0.0087,5,0.0,0.0000,1,0.6796913743019104,0.6797,5,0.0088357450440526,0.0088,5,0.0,0.0000,1
SBM-0.2-0.04,line,sg,10,0.1,1.0,36,,-0.0,1139.779541015625,1139.779541015625,12515670.0,14065152.0,0.7666178941726685,0.7666,5,0.011335290037095547,0.0113,5,0.00024518216378055513,0.0002,5,0.7644216418266296,0.7649,2,0.011162888258695602,0.0112,5,9.807046444620937e-05,0.0002,2
SBM-0.2-0.04,line,sg_aug,10,0.1,0.1,35,,0.21066361665725708,0.0,0.21066361665725708,144363.3125,13797888.0,0.720411479473114,0.7204,5,0.011407614685595036,0.0116,4,0.0,0.0003,4,0.7231541872024536,0.7232,5,0.01174295973032713,0.0117,5,0.0,0.0000,2
SBM-0.2-0.04,line,sg_aug,1000000,0.1,0.1,34,,-0.0,0.0,0.0,599893632.0,13797888.0,0.5097232460975647,0.5103,4,0.006711228750646114,0.0067,5,0.0003922914620488882,0.0006,2,0.5053430199623108,0.5054,3,0.006687785964459181,0.0067,3,0.00024517616839148104,0.0004,3
SBM-0.2-0.04,line,sg_aug,1000000000,0.1,0.1,35,,-0.0,0.0,0.0,3639949312.0,13797888.0,0.6812433004379272,0.6812,5,0.008694826625287533,0.0087,5,0.0,0.0000,1,0.6789101958274841,0.6789,5,0.0088357450440526,0.0088,5,0.0,0.0000,1
SBM-0.2-0.08,line,sg,10,0.1,1.0,59,,34.53877639770508,4811.763671875,4846.30224609375,3488829184.0,14065152.0,0.5125260949134827,0.5125,5,0.006670988164842129,0.0067,5,0.0,0.0000,1,0.5171933770179749,0.5172,5,0.0067576211877167225,0.0068,5,3.3213211281690747e-05,0.0001,1
SBM-0.2-0.08,line,sg_aug,10,0.1,0.1,53,,31.977474212646484,0.0,31.977474212646484,580231.375,13797888.0,0.5149454474449158,0.5149,5,0.007407530210912228,0.0074,4,0.0,0.0000,1,0.5141381621360779,0.5141,5,0.007307727355509996,0.0073,4,0.0,0.0001,1
SBM-0.2-0.08,line,sg_aug,1000000,0.1,0.1,52,,-0.0,0.0,0.0,422373312.0,13797888.0,0.49958738684654236,0.4999,2,0.006717716343700886,0.0067,5,0.000332137627992779,0.0004,1,0.4958457052707672,0.4962,1,0.006833456456661224,0.0069,4,0.00016606604913249612,0.0002,2
SBM-0.2-0.08,line,sg_aug,1000000000,0.1,0.1,52,,69.07755279541016,0.0,69.07755279541016,7388526592.0,13797888.0,0.498322069644928,0.4987,4,0.005802130326628685,0.0058,5,0.0,0.0000,1,0.4992600679397583,0.4993,5,0.005821113009005785,0.0060,1,1.6606605640845373e-05,0.0000,4
SBM-0.2-0.12,line,sg,10,0.1,1.0,59,,34.53877639770508,4811.763671875,4846.30224609375,3488829184.0,14065152.0,0.5126785635948181,0.5127,5,0.006670988164842129,0.0067,5,0.0,0.0000,1,0.5138084292411804,0.5138,5,0.0067576211877167225,0.0068,5,3.3213211281690747e-05,0.0001,1
SBM-0.2-0.12,line,sg_aug,10,0.1,0.1,52,,31.977474212646484,0.0,31.977474212646484,580231.375,13797888.0,0.5147337317466736,0.5147,5,0.007407530210912228,0.0074,4,0.0,0.0000,1,0.5134219527244568,0.5134,5,0.007307727355509996,0.0073,4,0.0,0.0001,1
SBM-0.2-0.12,line,sg_aug,1000000,0.1,0.1,54,,-0.0,0.0,0.0,422373312.0,13797888.0,0.49803271889686584,0.4980,5,0.006717716343700886,0.0067,5,0.000332137627992779,0.0004,1,0.4986434280872345,0.4990,1,0.006833456456661224,0.0069,4,0.00016606604913249612,0.0002,2
SBM-0.2-0.12,line,sg_aug,1000000000,0.1,0.1,56,,69.07755279541016,0.0,69.07755279541016,7388526592.0,13797888.0,0.5005150437355042,0.5011,4,0.005802130326628685,0.0058,5,0.0,0.0000,1,0.49874207377433777,0.5011,2,0.005821113009005785,0.0060,1,1.6606605640845373e-05,0.0000,4
SBM-0.2-0.16,line,sg,10,0.1,1.0,71,,276.3102111816406,7943.982421875,8220.29296875,4799199744.0,14065152.0,0.5014416575431824,0.5021,1,0.006395927630364895,0.0064,2,0.0,0.0001,2,0.5004726052284241,0.5020,1,0.006414072588086128,0.0064,1,5.5550925026182085e-05,0.0001,1
SBM-0.2-0.16,line,sg_aug,10,0.1,0.1,64,,72.1402587890625,0.0,72.1402587890625,1931038.625,13797888.0,0.5010367631912231,0.5015,4,0.006794039160013199,0.0068,1,0.0,0.0002,2,0.5020703077316284,0.5021,5,0.006806088611483574,0.0069,3,6.94386544637382e-05,0.0002,3
SBM-0.2-0.16,line,sg_aug,1000000,0.1,0.1,68,,-0.0,0.0,0.0,408318208.0,13797888.0,0.5040004253387451,0.5043,3,0.007077817339450121,0.0071,5,0.0002777546178549528,0.0003,1,0.5006393194198608,0.5008,4,0.0068404097110033035,0.0069,1,0.0003055300912819803,0.0005,1
SBM-0.2-0.16,line,sg_aug,1000000000,0.1,0.1,63,,-0.0,0.0,0.0,8019156480.0,13797888.0,0.5018300414085388,0.5034,2,0.00581751111894846,0.0059,1,0.0,0.0000,1,0.5019682049751282,0.5022,2,0.005732906982302666,0.0058,4,1.3887731256545521e-05,0.0000,3
SBM-0.2-0.2,line,sg,10,0.1,1.0,70,,276.3102111816406,7943.982421875,8220.29296875,4799199744.0,14065152.0,0.501029372215271,0.5024,3,0.006395927630364895,0.0064,2,0.0,0.0001,2,0.5011939406394958,0.5023,1,0.006414072588086128,0.0064,1,5.5550925026182085e-05,0.0001,1
