Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.2-0.004,line,sg,-1,0.1,1,286,,0,1174.318359,1174.318359,28786342,14134784,0.760974884,0.7655,15,0.011344025,0.0116,23,0,0.0005,16,0.764995098,0.7664,21,0.011607336,0.0119,22,0.000171623,0.0003,19
SBM-0.2-0.004,line,sg,10,0.1,1,286,,0,1174.318359,1174.318359,14776186,13864448,0.765194416,0.7656,1,0.011519076,0.0117,17,0.000147109,0.0004,17,0.768088996,0.7692,22,0.011813367,0.0119,24,0.000367764,0.0004,25
SBM-0.2-0.004,line,sg_aug,-1,0.1,0.1,261,,0.013336244,0,0.013336244,4124048.5,13730304,0.73767525,0.7377,25,0.011573641,0.0118,18,0,0.0005,17,0.733451009,0.7335,25,0.012011377,0.0122,22,0,0.0001,23
SBM-0.2-0.004,line,sg_aug,10,0.1,0.1,262,,0.129817396,0,0.129817396,5749137,13730304,0.730063438,0.7312,24,0.011355402,0.0117,18,0,0.0003,17,0.731751323,0.7323,23,0.011967555,0.0122,13,0,0.0001,23
SBM-0.2-0.004,line,sg_aug,1000000000,0.1,0.1,96,,69.0775528,0,69.0775528,4849487872,13728256,0.695422649,0.6954,10,0.008839231,0.0088,10,0,0,7,0.688106596,0.6881,10,0.00871486,0.0088,7,0,0,9
SBM-0.2-0.008,line,sg,-1,0.1,1,286,,0,1174.318359,1174.318359,28786342,14134784,0.766801238,0.7682,11,0.011344025,0.0116,23,0,0.0005,16,0.762603104,0.7636,7,0.011607336,0.0119,22,0.000171623,0.0003,19
SBM-0.2-0.008,line,sg,10,0.1,1,284,,0,1174.318359,1174.318359,14776186,13864448,0.762004793,0.7645,5,0.011519076,0.0117,17,0.000147109,0.0004,17,0.766663492,0.7674,12,0.011813367,0.0119,24,0.000367764,0.0004,25
SBM-0.2-0.008,line,sg_aug,-1,0.1,0.1,263,,0.013336244,0,0.013336244,4124048.5,13730304,0.735158324,0.7352,25,0.011573641,0.0118,18,0,0.0005,17,0.73510921,0.7351,25,0.012011377,0.0122,22,0,0.0001,23
SBM-0.2-0.008,line,sg_aug,10,0.1,0.1,267,,0.129817396,0,0.129817396,5749137,13730304,0.733401775,0.7338,23,0.011355402,0.0117,18,0,0.0003,17,0.733631849,0.7343,23,0.011967555,0.0122,13,0,0.0001,23
SBM-0.2-0.008,line,sg_aug,1000000000,0.1,0.1,96,,69.0775528,0,69.0775528,4849487872,13728256,0.693205416,0.6932,9,0.008839231,0.0088,10,0,0,7,0.689832389,0.6898,10,0.00871486,0.0088,7,0,0,9
SBM-0.2-0.012,line,sg,-1,0.1,1,307,,0,1174.318359,1174.318359,28786342,14134784,0.76272136,0.7658,15,0.011344025,0.0116,23,0,0.0005,16,0.764056861,0.7655,14,0.011607336,0.0119,22,0.000171623,0.0003,19
SBM-0.2-0.012,line,sg,10,0.1,1,313,,0,1174.318359,1174.318359,14776186,13864448,0.764895499,0.7667,16,0.011519076,0.0117,17,0.000147109,0.0004,17,0.766139567,0.7665,12,0.011813367,0.0119,24,0.000367764,0.0004,25
SBM-0.2-0.012,line,sg_aug,-1,0.1,0.1,269,,0.013336244,0,0.013336244,4124048.5,13730304,0.738356888,0.7384,25,0.011573641,0.0118,18,0,0.0005,17,0.734821498,0.7348,25,0.012011377,0.0122,22,0,0.0001,23
SBM-0.2-0.012,line,sg_aug,10,0.1,0.1,266,,0.129817396,0,0.129817396,5749137,13730304,0.732815504,0.7341,23,0.011355402,0.0117,18,0,0.0003,17,0.7336303,0.7346,24,0.011967555,0.0122,13,0,0.0001,23
