Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.2-0.004,line,sg_aug,10,0.1,0.1,261,,0.0133362440392375,0.0,0.0133362440392375,4124048.5,13730304.0,0.7376752495765686,0.7377,25,0.011573640629649162,0.0118,18,0.0,0.0005,17,0.7334510087966919,0.7335,25,0.012011377140879631,0.0122,22,0.0,0.0001,23
SBM-0.2-0.008,line,sg_aug,10,0.1,0.1,263,,0.0133362440392375,0.0,0.0133362440392375,4124048.5,13730304.0,0.7351583242416382,0.7352,25,0.011573640629649162,0.0118,18,0.0,0.0005,17,0.7351092100143433,0.7351,25,0.012011377140879631,0.0122,22,0.0,0.0001,23
SBM-0.2-0.012,line,sg_aug,10,0.1,0.1,269,,0.0133362440392375,0.0,0.0133362440392375,4124048.5,13730304.0,0.73835688829422,0.7384,25,0.011573640629649162,0.0118,18,0.0,0.0005,17,0.7348214983940125,0.7348,25,0.012011377140879631,0.0122,22,0.0,0.0001,23
SBM-0.2-0.016,line,sg_aug,10,0.1,0.1,262,,0.0133362440392375,0.0,0.0133362440392375,4124048.5,13730304.0,0.7407561540603638,0.7408,25,0.011573640629649162,0.0118,18,0.0,0.0005,17,0.7362516522407532,0.7363,25,0.012011377140879631,0.0122,22,0.0,0.0001,23
SBM-0.2-0.02,line,sg_aug,10,0.1,0.1,262,,0.0133362440392375,0.0,0.0133362440392375,4124048.5,13730304.0,0.736602246761322,0.7366,25,0.011573640629649162,0.0118,18,0.0,0.0005,17,0.735159158706665,0.7352,25,0.012011377140879631,0.0122,22,0.0,0.0001,23
SBM-0.2-0.024,line,sg_aug,10,0.1,0.1,261,,0.0133362440392375,0.0,0.0133362440392375,4124048.5,13730304.0,0.7353604435920715,0.7355,24,0.011573640629649162,0.0118,18,0.0,0.0005,17,0.733144998550415,0.7331,25,0.012011377140879631,0.0122,22,0.0,0.0001,23
SBM-0.2-0.028,line,sg_aug,10,0.1,0.1,263,,0.0133362440392375,0.0,0.0133362440392375,4124048.5,13730304.0,0.7334679961204529,0.7335,25,0.011573640629649162,0.0118,18,0.0,0.0005,17,0.7356711030006409,0.7357,25,0.012011377140879631,0.0122,22,0.0,0.0001,23
SBM-0.2-0.032,line,sg_aug,10,0.1,0.1,270,,0.0133362440392375,0.0,0.0133362440392375,4124048.5,13730304.0,0.7357102632522583,0.7357,25,0.011573640629649162,0.0118,18,0.0,0.0005,17,0.7371874451637268,0.7372,25,0.012011377140879631,0.0122,22,0.0,0.0001,23
SBM-0.2-0.036,line,sg_aug,10,0.1,0.1,284,,0.0133362440392375,0.0,0.0133362440392375,4124048.5,13730304.0,0.7324437499046326,0.7325,24,0.011573640629649162,0.0118,18,0.0,0.0005,17,0.736009955406189,0.7360,25,0.012011377140879631,0.0122,22,0.0,0.0001,23
SBM-0.2-0.04,line,sg_aug,10,0.1,0.1,282,,0.0133362440392375,0.0,0.0133362440392375,4124048.5,13730304.0,0.7340989708900452,0.7341,25,0.011573640629649162,0.0118,18,0.0,0.0005,17,0.7374476790428162,0.7374,25,0.012011377140879631,0.0122,22,0.0,0.0001,23
SBM-0.2-0.06,line,sg_aug,10,0.1,0.1,369,,0.16779391467571259,0.0,0.16779391467571259,79734.671875,13728256.0,0.5244073867797852,0.5244,25,0.007546023931354284,0.0076,15,0.0002657101140357554,0.0003,25,0.5227464437484741,0.5227,25,0.007406656630337238,0.0075,19,0.00011624624312389642,0.0001,9
SBM-0.2-0.08,line,sg_aug,10,0.1,0.1,366,,0.16779391467571259,0.0,0.16779391467571259,79734.671875,13728256.0,0.5249399542808533,0.5249,25,0.007546023931354284,0.0076,15,0.0002657101140357554,0.0003,25,0.5218099355697632,0.5219,24,0.007406656630337238,0.0075,19,0.00011624624312389642,0.0001,9
