Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch,metrics/AUC_ROC,metrics/AUC_ROC max,metrics/AUC_ROC max epoch,metrics/MRR,metrics/MRR max,metrics/MRR max epoch,metrics/Hits_50,metrics/Hits_50 max,metrics/Hits_50 max epoch
SBM-0.2-0.004,n2v,sg,-1,0.1,1.0,160,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7712379097938538,0.7712,25,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7686769962310791,0.7692,15,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.004,n2v,sg,-1,0.1,1.0,160,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7661954760551453,0.7673,10,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7638884782791138,0.7672,20,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.004,n2v,sg,-1,0.1,1.0,165,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.766541600227356,0.7682,24,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7690754532814026,0.7719,18,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.004,n2v,sg,10,0.1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.004,n2v,sg,10,0.1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.004,n2v,sg,10,0.1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.004,n2v,sg,10,0.1,1.0,110,26,318536.53125,472244.0625,790780.625,396.6883239746094,,,,,,,,,,,,,,,,,,,,0.7695837616920471,0.7700,14,0.011408054269850254,0.0120,3,2.4517616111552343e-05,0.0003,9
SBM-0.2-0.004,n2v,sg_aug,10,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.004,n2v,sg_aug,10,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.004,n2v,sg_aug,10,0.1,0.1,109,26,26212.2890625,0.0,26212.2890625,11265840.0,,,,,,,,,,,,,,,,,,,,0.7650657296180725,0.7667,20,0.011928945779800415,0.0124,16,0.0001716233091428876,0.0003,17
SBM-0.2-0.004,n2v,sg_aug,1000000,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.004,n2v,sg_aug,1000000,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.004,n2v,sg_aug,1000000,0.1,0.1,108,26,-0.0,0.0,0.0,355844608.0,,,,,,,,,,,,,,,,,,,,0.7292126417160034,0.7345,3,0.01223896723240614,0.0124,5,0.0005884227575734258,0.0006,7
SBM-0.2-0.008,n2v,sg,-1,0.1,1.0,161,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.767024576663971,0.7691,9,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7641381025314331,0.7665,24,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.008,n2v,sg,-1,0.1,1.0,0,,1234141.25,1796775.625,3030917.0,136202.84375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.008,n2v,sg,-1,0.1,1.0,165,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7673546671867371,0.7686,23,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7679318189620972,0.7704,15,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.008,n2v,sg,10,0.1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.008,n2v,sg,10,0.1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.008,n2v,sg,10,0.1,1.0,111,26,318536.53125,472244.0625,790780.625,396.6883239746094,,,,,,,,,,,,,,,,,,,,0.7668167948722839,0.7694,20,0.011408054269850254,0.0120,3,2.4517616111552343e-05,0.0003,9
SBM-0.2-0.008,n2v,sg_aug,10,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.008,n2v,sg_aug,10,0.1,0.1,108,26,26212.2890625,0.0,26212.2890625,11265840.0,,,,,,,,,,,,,,,,,,,,0.7693285942077637,0.7702,19,0.011928945779800415,0.0124,16,0.0001716233091428876,0.0003,17
SBM-0.2-0.008,n2v,sg_aug,1000000,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.008,n2v,sg_aug,1000000,0.1,0.1,109,26,-0.0,0.0,0.0,355844608.0,,,,,,,,,,,,,,,,,,,,0.7314006090164185,0.7368,3,0.01223896723240614,0.0124,5,0.0005884227575734258,0.0006,7
SBM-0.2-0.012,n2v,sg,-1,0.1,1.0,160,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7650021314620972,0.7696,7,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.766030490398407,0.7675,15,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.012,n2v,sg,-1,0.1,1.0,166,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7652727365493774,0.7698,13,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7671918272972107,0.7690,12,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.012,n2v,sg,10,0.1,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.012,n2v,sg,10,0.1,1.0,111,26,318536.53125,472244.0625,790780.625,396.6883239746094,,,,,,,,,,,,,,,,,,,,0.7669826745986938,0.7695,16,0.011408054269850254,0.0120,3,2.4517616111552343e-05,0.0003,9
SBM-0.2-0.012,n2v,sg_aug,10,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.012,n2v,sg_aug,10,0.1,0.1,109,26,26212.2890625,0.0,26212.2890625,11265840.0,,,,,,,,,,,,,,,,,,,,0.7667286992073059,0.7683,20,0.011928945779800415,0.0124,16,0.0001716233091428876,0.0003,17
SBM-0.2-0.012,n2v,sg_aug,1000000,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.012,n2v,sg_aug,1000000,0.1,0.1,109,26,-0.0,0.0,0.0,355844608.0,,,,,,,,,,,,,,,,,,,,0.7315061092376709,0.7368,3,0.01223896723240614,0.0124,5,0.0005884227575734258,0.0006,7
SBM-0.2-0.016,n2v,sg,-1,0.1,1.0,160,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7688868045806885,0.7689,25,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7657908201217651,0.7667,4,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
